,,rq,rq,rqSD,rqSEM
,,size,mean,mean,mean
Target Name,Sample Name,,,,
ACTB,3448,3.0,0.5898786995063936,0.018810243976283687,0.010860099423229923
ACTB,3450,3.0,0.6679178320793616,0.04219042173976236,0.02435865134867564
ACTB,AIW001-2,3.0,0.40220145395917895,,
ACTB,AIW002-02,3.0,0.3978252669601938,0.06769184785288716,0.0390819065798076
ACTB,AJC,3.0,0.9352896849815598,0.051617530855568396,0.029801395334366227
ACTB,AJD,3.0,0.9109526200385639,0.12591872901569418,0.07269921209322658
ACTB,AJG,3.0,1.206610314711613,0.08966602787596417,0.051768705331352395
ACTB,H9,3.0,0.6651844350587391,0.09904871133682196,0.057185800153199705
ACTB,TD02,3.0,0.4929849960323265,0.04088685503476463,0.023606036760638566
ACTB,TD03,3.0,0.8139823050400291,0.15602526185396312,0.09008122693176746
ACTB,TD10,3.0,0.4061286040586733,0.03459356544725549,0.019972604323201894
ACTB,TD22,3.0,0.6213193077287563,0.09760956495485945,0.05635490860217037
C-MYC,3448,3.0,0.8215710514374984,0.025201449222044193,0.014550063492315904
C-MYC,3450,2.0,0.20970846318777298,0.03802527859118545,0.026887932348334878
C-MYC,AIW001-2,2.0,0.10538107992094606,,
C-MYC,AIW002-02,3.0,0.21012274726232935,0.016693183653674823,0.00963781407608102
C-MYC,AJC,3.0,0.3888780509199115,0.032131658555241,0.018551221716377533
C-MYC,AJD,3.0,0.6989828143776418,0.03201295222932363,0.01848268658715463
C-MYC,AJG,3.0,0.16872499223395,0.01597976001282169,0.009225918744988222
C-MYC,H9,3.0,0.1826488904860688,0.02924761842034195,0.016886120368139884
C-MYC,TD02,2.0,0.25485766076961675,0.0049962058930384246,0.00353285106717166
C-MYC,TD03,3.0,0.22912164718016256,0.03632670127109901,0.020973230757640137
C-MYC,TD10,3.0,1.2342238650836277,0.11498186469341926,0.06638481053267074
C-MYC,TD22,3.0,1.838241248594965,0.04781765800211466,0.027607537719538364
GAPDH1,3448,3.0,1.762664269417203,0.09489677726274381,0.054788679897873095
