,,,,,,,,,,
,,,,,,,,,,
Well,Well Position,Reporter,Task,Target Name,Sample Name,Efficiency,CT,Quantity,Treatment,Region
,A1,FAM,Blank,,,3.81%,36.11,0.002308,,
,A1,TMR,Blank,,,N/A,N/A,,,
,A2,FAM,Blank,,,N/A,N/A,,,
,A2,TMR,Blank,,,N/A,N/A,,,
,A3,FAM,Standard,,,51.98%,21.71,50,,
,A3,TMR,Standard,,,N/A,N/A,50,,
,A4,FAM,Standard,,,66.62%,22.67,50,,
,A4,TMR,Standard,,,N/A,N/A,50,,
,A5,FAM,Standard,,,35.23%,24.18,12.5,,
,A5,TMR,Standard,,,N/A,N/A,12.5,,
,A6,FAM,Standard,,,40.23%,24.54,12.5,,
,A6,TMR,Standard,,,N/A,N/A,12.5,,
,A7,FAM,Standard,,,54.59%,27.46,3.125,,
,A7,TMR,Standard,,,N/A,N/A,3.125,,
,A8,FAM,Standard,,,38.21%,27.07,3.125,,
,A8,TMR,Standard,,,N/A,N/A,3.125,,
,A9,FAM,Standard,,,43.28%,28.01,0.7813,,
,A9,TMR,Standard,,,N/A,N/A,0.7813,,
,A10,FAM,Standard,,,34.63%,26.85,0.7813,,
,A10,TMR,Standard,,,N/A,N/A,0.7813,,
,A11,FAM,Standard,,,53.51%,29.82,0.1953,,
,A11,TMR,Standard,,,N/A,N/A,0.1953,,
,A12,FAM,Standard,,,36.60%,28.49,0.1953,,
,A12,TMR,Standard,,,N/A,N/A,0.1953,,
,B1,FAM,Sample,B2M,B4bisNST,61.36%,27.68,1.014,Saline,NST
,B1,TMR,Sample,B2M,B4bisNST,N/A,N/A,,Saline,NST
,B2,FAM,Sample,B2M,B4bisNST,57.23%,28.39,0.604,Saline,NST
,B2,TMR,Sample,B2M,B4bisNST,N/A,N/A,,Saline,NST
,B3,FAM,Sample,B2M,B4bisNST,56.35%,28.32,0.6395,Saline,NST
,B3,TMR,Sample,B2M,B4bisNST,N/A,N/A,,Saline,NST
,B4,FAM,Sample,B2M,B4bisGP,52.82%,27.3,1.33,Saline,GP
,B4,TMR,Sample,B2M,B4bisGP,N/A,N/A,,Saline,GP
,B5,FAM,Sample,B2M,B4bisGP,46.28%,26.37,2.598,Saline,GP
,B5,TMR,Sample,B2M,B4bisGP,N/A,N/A,,Saline,GP
,B6,TMR,Sample,B2M,B4bisGP,N/A,N/A,,Saline,GP
,B6,FAM,Sample,B2M,B4bisGP,42.64%,26.4,2.541,Saline,GP
,B7,TMR,Sample,B2M,B4bisSN,N/A,N/A,,Saline,SN
,B7,FAM,Sample,B2M,B4bisSN,58.26%,27.61,1.066,Saline,SN
,B8,TMR,Sample,B2M,B4bisSN,N/A,N/A,,Saline,SN
,B8,FAM,Sample,B2M,B4bisSN,47.22%,27.1,1.532,Saline,SN
,B9,TMR,Sample,B2M,B4bisSN,N/A,N/A,,Saline,SN
,B9,FAM,Sample,B2M,B4bisSN,56.59%,27.1,1.539,Saline,SN
,B10,TMR,Sample,B2M,B6NST,N/A,N/A,,Saline,ST
,B10,FAM,Sample,B2M,B6NST,53.99%,27.34,1.289,Saline,ST
,B11,TMR,Sample,B2M,B6NST,N/A,N/A,,Saline,ST
,B11,FAM,Sample,B2M,B6NST,57.14%,27.23,1.398,Saline,ST
,B12,TMR,Sample,B2M,B6NST,0.80%,22.41,,Saline,ST
,B12,FAM,Sample,B2M,B6NST,58.08%,26.4,2.544,Saline,ST
,C1,FAM,Sample,B2M,R6 NST,62.11%,27.06,1.583,Saline,NST
,C1,TMR,Sample,B2M,R6 NST,N/A,N/A,,Saline,NST
,C2,FAM,Sample,B2M,R6 NST,57.67%,27.23,1.395,Saline,NST
,C2,TMR,Sample,B2M,R6 NST,N/A,N/A,,Saline,NST
,C3,FAM,Sample,B2M,R6 NST,56.99%,27.48,1.17,Saline,NST
,C3,TMR,Sample,B2M,R6 NST,N/A,N/A,,Saline,NST
,C4,FAM,Sample,B2M,R6 GP,61.12%,26.63,2.157,Saline,GP
,C4,TMR,Sample,B2M,R6 GP,N/A,N/A,,Saline,GP
,C5,FAM,Sample,B2M,R6 GP,53.03%,25.7,4.207,Saline,GP
,C5,TMR,Sample,B2M,R6 GP,N/A,N/A,,Saline,GP
,C6,FAM,Sample,B2M,R6 GP,46.70%,26.41,2.524,Saline,GP
,C6,TMR,Sample,B2M,R6 GP,N/A,N/A,,Saline,GP
,C7,FAM,Sample,B2M,R6 SN,49.32%,29.29,0.3168,Saline,SN
,C7,TMR,Sample,B2M,R6 SN,N/A,N/A,,Saline,SN
,C8,FAM,Sample,B2M,R6 SN,36.81%,28.1,0.7454,Saline,SN
,C8,TMR,Sample,B2M,R6 SN,N/A,N/A,,Saline,SN
,C9,FAM,Sample,B2M,R6 SN,54.78%,29.36,0.3018,Saline,SN
,C9,TMR,Sample,B2M,R6 SN,N/A,N/A,,Saline,SN
,C10,FAM,Sample,B2M,V3 NST,55.92%,28.32,0.6357,Saline,NST
,C10,TMR,Sample,B2M,V3 NST,N/A,N/A,,Saline,NST
,C11,FAM,Sample,B2M,V3 NST,70.73%,28.74,0.4712,Saline,NST
,C11,TMR,Sample,B2M,V3 NST,N/A,N/A,,Saline,NST
,C12,FAM,Sample,B2M,V3 NST,61.13%,28.58,0.5298,Saline,NST
,C12,TMR,Sample,B2M,V3 NST,N/A,N/A,,Saline,NST
,D1,FAM,Sample,B2M,V3 GP,67.44%,27.91,0.8578,Saline,GP
,D1,TMR,Sample,B2M,V3 GP,N/A,N/A,,Saline,GP
,D2,FAM,Sample,B2M,V3 GP,59.35%,28.83,0.4414,Saline,GP
,D2,TMR,Sample,B2M,V3 GP,N/A,N/A,,Saline,GP
,D3,FAM,Sample,B2M,V3 GP,57.37%,27.87,0.8844,Saline,GP
,D3,TMR,Sample,B2M,V3 GP,N/A,N/A,,Saline,GP
,D4,FAM,Sample,B2M,V3 SN,49.40%,27.49,1.162,Saline,SN
,D4,TMR,Sample,B2M,V3 SN,N/A,N/A,,Saline,SN
,D5,FAM,Sample,B2M,V3 SN,35.85%,28.09,0.7497,Saline,SN
,D5,TMR,Sample,B2M,V3 SN,N/A,N/A,,Saline,SN
,D6,FAM,Sample,B2M,V3 SN,43.65%,28.4,0.5998,Saline,SN
,D6,TMR,Sample,B2M,V3 SN,N/A,N/A,,Saline,SN
