,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Well,Well Position,Reporter,Task,Target Name,Sample Name,Efficiency,CT,Quantity,Treatment,Region
,A1,FAM,Blank,,,3.81%,36.11,0.002308,,
,A1,TMR,Blank,,,N/A,N/A,,,
,A2,FAM,Blank,,,N/A,N/A,,,
,A2,TMR,Blank,,,N/A,N/A,,,
,A3,FAM,Standard,,,51.98%,21.71,50,,
,A3,TMR,Standard,,,N/A,N/A,50,,
,A4,FAM,Standard,,,66.62%,22.67,50,,
,A4,TMR,Standard,,,N/A,N/A,50,,
,A5,FAM,Standard,,,35.23%,24.18,12.5,,
,A5,TMR,Standard,,,N/A,N/A,12.5,,
,A6,FAM,Standard,,,40.23%,24.54,12.5,,
,A6,TMR,Standard,,,N/A,N/A,12.5,,
,A7,FAM,Standard,,,54.59%,27.46,3.125,,
,A7,TMR,Standard,,,N/A,N/A,3.125,,
,A8,FAM,Standard,,,38.21%,27.07,3.125,,
,A8,TMR,Standard,,,N/A,N/A,3.125,,
,A9,FAM,Standard,,,43.28%,28.01,0.7813,,
,A9,TMR,Standard,,,N/A,N/A,0.7813,,
,A10,FAM,Standard,,,34.63%,26.85,0.7813,,
,A10,TMR,Standard,,,N/A,N/A,0.7813,,
,A11,FAM,Standard,,,53.51%,29.82,0.1953,,
,A11,TMR,Standard,,,N/A,N/A,0.1953,,
,A12,FAM,Standard,,,36.60%,28.49,0.1953,,
,A12,TMR,Standard,,,N/A,N/A,0.1953,,
,B1,FAM,Sample,NRXN2,B4bisNST,61.36%,27.68,1.014,,
,B1,TMR,Sample,NRXN2,B4bisNST,N/A,N/A,,,
,B2,FAM,Sample,NRXN2,B4bisNST,57.23%,28.39,0.604,,
,B2,TMR,Sample,NRXN2,B4bisNST,N/A,N/A,,,
,B3,FAM,Sample,NRXN2,B4bisNST,56.35%,28.32,0.6395,,
,B3,TMR,Sample,NRXN2,B4bisNST,N/A,N/A,,,
,B4,FAM,Sample,NRXN2,B4bisGP,52.82%,27.3,1.33,,
,B4,TMR,Sample,NRXN2,B4bisGP,N/A,N/A,,,
,B5,FAM,Sample,NRXN2,B4bisGP,46.28%,26.37,2.598,,
,B5,TMR,Sample,NRXN2,B4bisGP,N/A,N/A,,,
,B6,TMR,Sample,NRXN2,B4bisGP,N/A,N/A,,,
,B6,FAM,Sample,NRXN2,B4bisGP,42.64%,26.4,2.541,,
,B7,TMR,Sample,NRXN2,B4bisSN,N/A,N/A,,,
,B7,FAM,Sample,NRXN2,B4bisSN,58.26%,27.61,1.066,,
,B8,TMR,Sample,NRXN2,B4bisSN,N/A,N/A,,,
,B8,FAM,Sample,NRXN2,B4bisSN,47.22%,27.1,1.532,,
,B9,TMR,Sample,NRXN2,B4bisSN,N/A,N/A,,,
