,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Well / Set,Dye,Content,Description,Efficiency,C(t),ng,Avg C(t),Max C(t),Min C(t),C(t) SD,Avg ng,Max ng,Min ng,ng SD
A1,FAM,Blank,,N/A,N/A,,,,,,,,,
A1,TMR,Blank,,N/A,N/A,,,,,,,,,
A2,FAM,Blank,,N/A,N/A,,,,,,,,,
A2,TMR,Blank,,N/A,N/A,,,,,,,,,
A3,FAM,Standard,,57.11%,21.89,50,,,,,,,,
A3,TMR,Standard,,N/A,N/A,50,,,,,,,,
A4,FAM,Standard,,61.64%,22.98,50,,,,,,,,
A4,TMR,Standard,,N/A,N/A,50,,,,,,,,
A5,FAM,Standard,,45.63%,24.81,12.5,,,,,,,,
A5,TMR,Standard,,N/A,N/A,12.5,,,,,,,,
A6,FAM,Standard,,47.71%,23.93,12.5,,,,,,,,
A6,TMR,Standard,,N/A,N/A,12.5,,,,,,,,
A7,FAM,Standard,,50.65%,26.01,3.125,,,,,,,,
A7,TMR,Standard,,N/A,N/A,3.125,,,,,,,,
A8,FAM,Standard,,47.14%,25.96,3.125,,,,,,,,
A8,TMR,Standard,,N/A,N/A,3.125,,,,,,,,
A9,FAM,Standard,,44.88%,28.03,0.7813,,,,,,,,
A9,TMR,Standard,,N/A,N/A,0.7813,,,,,,,,
A10,FAM,Standard,,50.03%,27.95,0.7813,,,,,,,,
A10,TMR,Standard,,N/A,N/A,0.7813,,,,,,,,
A11,FAM,Standard,,59.91%,30.14,0.1953,,,,,,,,
A11,TMR,Standard,,N/A,N/A,0.1953,,,,,,,,
A12,FAM,Standard,,45.13%,29.27,0.1953,,,,,,,,
A12,TMR,Standard,,N/A,N/A,0.1953,,,,,,,,
B1,FAM,Sample,B4bisNST,50.57%,30.71,0.1279,,,,,,,,
B1,TMR,Sample,B4bisNST,N/A,N/A,,,,,,,,,
B2,FAM,Sample,B4bisNST,45.00%,30.29,0.1696,,,,,,,,
B2,TMR,Sample,B4bisNST,N/A,N/A,,,,,,,,,
B3,FAM,Sample,B4bisNST,46.18%,30.2,0.1807,,,,,,,,
B3,TMR,Sample,B4bisNST,N/A,N/A,,,,,,,,,
B4,FAM,Sample,B4bisGP,32.11%,26.6,2.053,,,,,,,,
B4,TMR,Sample,B4bisGP,N/A,N/A,,,,,,,,,
B5,FAM,Sample,B4bisGP,45.30%,28.43,0.5979,,,,,,,,
B5,TMR,Sample,B4bisGP,N/A,N/A,,,,,,,,,
B6,TMR,Sample,B4bisGP,N/A,N/A,,,,,,,,,
B6,FAM,Sample,B4bisGP,47.44%,28.18,0.708,,,,,,,,
B7,TMR,Sample,B4bisSN,N/A,N/A,,,,,,,,,
B7,FAM,Sample,B4bisSN,47.60%,27.56,1.073,,,,,,,,
B8,TMR,Sample,B4bisSN,N/A,N/A,,,,,,,,,
B8,FAM,Sample,B4bisSN,48.66%,28.39,0.6151,,,,,,,,
B9,TMR,Sample,B4bisSN,N/A,N/A,,,,,,,,,
B9,FAM,Sample,B4bisSN,35.46%,27.24,1.339,,,,,,,,
B10,TMR,Sample,B6NST,N/A,N/A,,,,,,,,,
B10,FAM,Sample,B6NST,62.45%,29.65,0.2622,,,,,,,,
B11,TMR,Sample,B6NST,N/A,N/A,,,,,,,,,
B11,FAM,Sample,B6NST,55.41%,29.68,0.2571,,,,,,,,
B12,TMR,Sample,B6NST,N/A,N/A,,,,,,,,,
B12,FAM,Sample,B6NST,73.88%,28.92,0.4286,,,,,,,,
C1,FAM,Sample,R6 NST,61.64%,28.72,0.4903,,,,,,,,
C1,TMR,Sample,R6 NST,N/A,N/A,,,,,,,,,
C2,FAM,Sample,R6 NST,52.01%,29.03,0.3972,,,,,,,,
C2,TMR,Sample,R6 NST,N/A,N/A,,,,,,,,,
C3,FAM,Sample,R6 NST,59.43%,28.76,0.4771,,,,,,,,
C3,TMR,Sample,R6 NST,N/A,N/A,,,,,,,,,
C4,FAM,Sample,R6 GP,46.03%,27.07,1.5,,,,,,,,
C4,TMR,Sample,R6 GP,N/A,N/A,,,,,,,,,
C5,FAM,Sample,R6 GP,53.51%,26.83,1.761,,,,,,,,
C5,TMR,Sample,R6 GP,N/A,N/A,,,,,,,,,
C6,FAM,Sample,R6 GP,43.63%,26.86,1.729,,,,,,,,
C6,TMR,Sample,R6 GP,N/A,N/A,,,,,,,,,
C7,FAM,Sample,R6 SN,49.11%,29.6,0.2719,,,,,,,,
C7,TMR,Sample,R6 SN,N/A,N/A,,,,,,,,,
C8,FAM,Sample,R6 SN,43.47%,29.04,0.3952,,,,,,,,
C8,TMR,Sample,R6 SN,N/A,N/A,,,,,,,,,
C9,FAM,Sample,R6 SN,55.63%,30.53,0.1449,,,,,,,,
C9,TMR,Sample,R6 SN,N/A,N/A,,,,,,,,,
C10,FAM,Sample,V3 NST,44.64%,30.69,0.1297,,,,,,,,
C10,TMR,Sample,V3 NST,N/A,N/A,,,,,,,,,
C11,FAM,Sample,V3 NST,53.10%,30.42,0.1554,,,,,,,,
C11,TMR,Sample,V3 NST,N/A,N/A,,,,,,,,,
C12,FAM,Sample,V3 NST,52.70%,30.2,0.1806,,,,,,,,
C12,TMR,Sample,V3 NST,N/A,N/A,,,,,,,,,
D1,FAM,Sample,V3 GP,49.19%,29.08,0.3856,,,,,,,,
D1,TMR,Sample,V3 GP,N/A,N/A,,,,,,,,,
D2,FAM,Sample,V3 GP,53.23%,29.3,0.333,,,,,,,,
D2,TMR,Sample,V3 GP,N/A,N/A,,,,,,,,,
D3,FAM,Sample,V3 GP,50.26%,28.22,0.6867,,,,,,,,
D3,TMR,Sample,V3 GP,N/A,N/A,,,,,,,,,
D4,FAM,Sample,V3 SN,51.80%,27.76,0.9397,,,,,,,,
D4,TMR,Sample,V3 SN,N/A,N/A,,,,,,,,,
D5,FAM,Sample,V3 SN,44.25%,28.57,0.5431,,,,,,,,
D5,TMR,Sample,V3 SN,N/A,N/A,,,,,,,,,
D6,FAM,Sample,V3 SN,52.13%,27.9,0.8559,,,,,,,,
D6,TMR,Sample,V3 SN,N/A,N/A,,,,,,,,,
D7,FAM,Sample,V4 NST,55.25%,30.45,0.153,,,,,,,,
D7,TMR,Sample,V4 NST,N/A,N/A,,,,,,,,,
D8,FAM,Sample,V4 NST,34.94%,29.16,0.3645,,,,,,,,
D8,TMR,Sample,V4 NST,N/A,N/A,,,,,,,,,
D9,FAM,Sample,V4 NST,41.20%,29.27,0.3388,,,,,,,,
D9,TMR,Sample,V4 NST,N/A,N/A,,,,,,,,,
D10,FAM,Sample,V4 GP,40.68%,27.61,1.039,,,,,,,,
D10,TMR,Sample,V4 GP,N/A,N/A,,,,,,,,,
D11,FAM,Sample,V4 GP,53.25%,28.67,0.508,,,,,,,,
D11,TMR,Sample,V4 GP,N/A,N/A,,,,,,,,,
D12,FAM,Sample,V4 GP,52.69%,28.3,0.6525,,,,,,,,
D12,TMR,Sample,V4 GP,N/A,N/A,,,,,,,,,
E1,FAM,Sample,V4 SN,49.36%,27.37,1.226,,,,,,,,
E1,TMR,Sample,V4 SN,N/A,N/A,,,,,,,,,
E2,FAM,Sample,V4 SN,50.08%,28.01,0.7909,,,,,,,,
E2,TMR,Sample,V4 SN,N/A,N/A,,,,,,,,,
E3,FAM,Sample,V4 SN,47.36%,28.31,0.6458,,,,,,,,
E3,TMR,Sample,V4 SN,N/A,N/A,,,,,,,,,
E4,FAM,Sample,R5bis NST,46.08%,30.13,0.1892,,,,,,,,
E4,TMR,Sample,R5bis NST,N/A,N/A,,,,,,,,,
E5,FAM,Sample,R5bis NST,41.54%,30.27,0.1727,,,,,,,,
E5,TMR,Sample,R5bis NST,N/A,N/A,,,,,,,,,
E6,FAM,Sample,R5bis NST,50.65%,30.72,0.127,,,,,,,,
E6,TMR,Sample,R5bis NST,N/A,N/A,,,,,,,,,
E7,FAM,Sample,R5bis GP,49.20%,28.97,0.416,,,,,,,,
E7,TMR,Sample,R5bis GP,N/A,N/A,,,,,,,,,
E8,FAM,Sample,R5bis GP,46.64%,28.44,0.5921,,,,,,,,
E8,TMR,Sample,R5bis GP,N/A,N/A,,,,,,,,,
E9,FAM,Sample,R5bis GP,50.45%,28.31,0.6481,,,,,,,,
E9,TMR,Sample,R5bis GP,N/A,N/A,,,,,,,,,
