Target Name,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,Test,effect size,Bayes factor
GRIA1,IPSC,NPC,10.0,0.06813470930226323,0.034067354651131615,fdr_bh,False,True,T-Test,-1.307,2.313
GRIA1,IPSC,DA4W,10.0,0.00923360691913636,0.003077868973045453,fdr_bh,False,True,T-Test,-2.066,12.1
GRIA1,IPSC,DA6W,10.0,0.00923360691913636,0.0028550546517293034,fdr_bh,False,True,T-Test,-2.09,12.787
GRIA1,NPC,DA4W,10.0,0.12955373373507761,0.09577277648215284,fdr_bh,False,True,T-Test,-0.98,1.235
GRIA1,NPC,DA6W,10.0,0.12955373373507761,0.10796144477923135,fdr_bh,False,True,T-Test,-0.941,1.153
GRIA1,DA4W,DA6W,10.0,0.905301525255237,0.905301525255237,fdr_bh,False,True,T-Test,0.065,0.469
SYP,IPSC,NPC,10.0,0.1958219288805647,0.16318494073380393,fdr_bh,False,True,T-Test,-0.802,0.919
SYP,IPSC,DA4W,10.0,1.1005051849910138e-07,1.8341753083183563e-08,fdr_bh,False,True,T-Test,-8.548,2.999e+05
SYP,IPSC,DA6W,10.0,1.5137433415677677e-06,5.045811138559226e-07,fdr_bh,False,True,T-Test,-6.033,1.611e+04
SYP,NPC,DA4W,10.0,2.052756360340453e-06,1.0263781801702266e-06,fdr_bh,False,True,T-Test,-5.589,8667.555
SYP,NPC,DA6W,10.0,7.392076131321462e-06,4.928050754214308e-06,fdr_bh,False,True,T-Test,-4.704,2229.189
SYP,DA4W,DA6W,10.0,0.40570973915550035,0.40570973915550035,fdr_bh,False,True,T-Test,-0.463,0.593
KCNJ6,IPSC,NPC,10.0,0.8287809778056577,0.6906508148380481,fdr_bh,False,True,T-Test,-0.218,0.493
KCNJ6,IPSC,DA4W,10.0,0.0006419988513116701,0.00023859212814165246,fdr_bh,False,True,T-Test,-2.967,87.121
KCNJ6,IPSC,DA6W,10.0,0.0006419988513116701,0.00023490614065910156,fdr_bh,False,True,T-Test,-2.972,88.218
KCNJ6,NPC,DA4W,10.0,0.0006419988513116701,0.00042799923420778005,fdr_bh,False,True,T-Test,-2.748,54.662
KCNJ6,NPC,DA6W,10.0,0.0006419988513116701,0.0004195504201919649,fdr_bh,False,True,T-Test,-2.755,55.532
KCNJ6,DA4W,DA6W,10.0,0.9783217756594733,0.9783217756594733,fdr_bh,False,True,T-Test,-0.015,0.467
ACTB,IPSC,NPC,10.0,0.06966510604067304,0.011610851006778838,fdr_bh,False,True,T-Test,-1.642,4.711
ACTB,IPSC,DA4W,10.0,0.2671821771480187,0.22265181429001557,fdr_bh,False,True,T-Test,-0.693,0.782
ACTB,IPSC,DA6W,10.0,0.2492121455988574,0.14129567271586208,fdr_bh,False,True,T-Test,-0.851,0.993
ACTB,NPC,DA4W,10.0,0.2492121455988574,0.0860884905455121,fdr_bh,False,True,T-Test,1.015,1.313
ACTB,NPC,DA6W,10.0,0.2492121455988574,0.16614143039923826,fdr_bh,False,True,T-Test,0.796,0.91
ACTB,DA4W,DA6W,10.0,0.7149784899186236,0.7149784899186236,fdr_bh,False,True,T-Test,-0.2,0.489
GAPDH,IPSC,NPC,10.0,0.1485876708240547,0.02476461180400911,fdr_bh,False,True,T-Test,1.407,2.84
GAPDH,IPSC,DA4W,10.0,0.2671821771480148,0.22265181429001235,fdr_bh,False,True,T-Test,0.693,0.782
GAPDH,IPSC,DA6W,10.0,0.2671821771480148,0.14129567271586044,fdr_bh,False,True,T-Test,0.851,0.993
GAPDH,NPC,DA4W,10.0,0.2671821771480148,0.11122830895517034,fdr_bh,False,True,T-Test,-0.931,1.134
GAPDH,NPC,DA6W,10.0,0.2671821771480148,0.18433512652340886,fdr_bh,False,True,T-Test,-0.76,0.861
GAPDH,DA4W,DA6W,10.0,0.7149784899186238,0.7149784899186238,fdr_bh,False,True,T-Test,0.2,0.489
