Target Name,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,effect size,Bayes factor
KCNJ6,IPSC,NPC,5,0.8567,0.7372,fdr_bh,True,True,-0.234,0.393
KCNJ6,IPSC,DA4W,5,0.0084,0.0028,fdr_bh,True,True,-3.666,18.055
KCNJ6,IPSC,DA6W,5,0.0084,0.0025,fdr_bh,True,True,-3.676,19.613
KCNJ6,NPC,DA4W,5,0.0116,0.0070,fdr_bh,True,True,-3.039,8.988
KCNJ6,NPC,DA6W,5,0.0116,0.0077,fdr_bh,True,True,-3.05,8.394
KCNJ6,DA4W,DA6W,5,0.8567,0.8567,fdr_bh,True,True,-0.015,0.379
SYP,IPSC,NPC,5,0.1854,0.1710,fdr_bh,True,True,-1.064,0.878
SYP,IPSC,DA4W,5,0.0001,0.0000,fdr_bh,True,True,-11.357,982.674
SYP,IPSC,DA6W,5,0.0002,0.0001,fdr_bh,True,True,-8.189,271.523
SYP,NPC,DA4W,5,0.0002,0.0001,fdr_bh,True,True,-5.59,212.827
SYP,NPC,DA6W,5,0.0002,0.0001,fdr_bh,True,True,-4.83,224.836
SYP,DA4W,DA6W,5,0.1854,0.1854,fdr_bh,True,True,-0.474,0.832
GRIA1,IPSC,NPC,5,0.0678,0.0565,fdr_bh,True,True,-1.785,1.912
GRIA1,IPSC,DA4W,5,0.0357,0.0119,fdr_bh,True,True,-2.852,6.048
GRIA1,IPSC,DA6W,5,0.0357,0.0114,fdr_bh,True,True,-2.882,6.264
GRIA1,NPC,DA4W,5,0.0678,0.0345,fdr_bh,True,True,-0.998,2.741
GRIA1,NPC,DA6W,5,0.0678,0.0519,fdr_bh,True,True,-0.954,2.033
GRIA1,DA4W,DA6W,5,0.3517,0.3517,fdr_bh,True,True,0.065,0.557
