Target Name,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,Test,effect size,Bayes factor
B2M,Control,Cocaine,18.54,,1.0,,False,True,T-Test,0.0,0.354
B2M,NST,GP,9.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.405
B2M,NST,SN,12.62,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.405
B2M,GP,SN,16.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.412
B2M,NST,GP,4.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.509
B2M,NST,SN,4.97,0.9302389361335064,0.31007964537783544,fdr_bh,False,True,T-Test,0.709,0.733
B2M,GP,SN,6.0,0.9302389361335064,0.2383325103885646,fdr_bh,False,True,T-Test,0.805,0.832
B2M,NST,GP,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,NST,SN,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,GP,SN,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
NRXN3,Control,Cocaine,22.74,,0.13374377856298073,,False,True,T-Test,-0.551,0.858
NRXN3,NST,GP,9.41,0.007096523639932067,0.004731015759954711,fdr_bh,False,True,T-Test,-1.689,18.262
NRXN3,NST,SN,8.48,0.004834822118395066,0.0016116073727983553,fdr_bh,False,True,T-Test,-2.105,82.627
NRXN3,GP,SN,16.0,0.05485093350357167,0.05485093350357167,fdr_bh,False,True,T-Test,-0.93,1.626
NRXN3,NST,GP,3.36,0.3093338949317001,0.264912720777358,fdr_bh,False,True,T-Test,-0.89,0.836
NRXN3,NST,SN,3.49,0.011118188470632707,0.003706062823544236,fdr_bh,False,True,T-Test,-4.596,83.773
NRXN3,GP,SN,6.0,0.021289085283544312,0.010644542641772156,fdr_bh,False,True,T-Test,-2.247,4.981
NRXN3,NST,GP,8.0,0.004443886744779894,0.000740647790796649,fdr_bh,False,True,T-Test,-3.02,34.313
NRXN3,NST,SN,8.0,0.026739544238196345,0.01782636282546423,fdr_bh,False,True,T-Test,-1.698,3.552
NRXN3,GP,SN,8.0,0.3093338949317001,0.3093338949317001,fdr_bh,False,True,T-Test,-0.62,0.699
