,,,NormQuant,NormQuant,NormQuant,NormSEM
,,,size,mean,std,mean
Target Name,Sample Name,Treatment,,,,
B2M,B4bisGP,Control,2.0,1.0,0.015685964789894313,0.011091652072387659
B2M,R6 GP,Control,2.0,1.0,0.11087724362121894,0.07840205084383678
B2M,V3 GP,Control,2.0,1.0,0.021592286051615405,0.015268051888416956
B2M,V4 GP,Control,2.0,1.0,0.03571982709086691,0.02525773195876296
B2M,R5bis GP,Cocaine,3.0,1.0,0.2126402305188052,0.12276789433057624
B2M,R6bisGP,Cocaine,2.0,1.0,0.5512291172897462,0.3897778468230543
B2M,R8bisGP,Cocaine,3.0,1.0000000000000002,0.1503034120980236,0.08677771543491318
B2M,V2GP,Cocaine,2.0,1.0,0.1645113016843606,0.11632705700283724
B2M,V8GP,Cocaine,2.0,1.0,0.23640034788632125,0.16716028906527663
NRXN3,B4bisGP,Control,2.0,0.2541155866900175,0.030298679357321966,0.021424401634559234
NRXN3,R6 GP,Control,3.0,0.7106743573310546,0.06082155436815769,0.035115340786987304
NRXN3,V3 GP,Control,2.0,0.41246699575249685,0.04269752805695377,0.03019171162897488
NRXN3,V4 GP,Control,2.0,0.2990979381443299,0.052668520557451574,0.037242268041237085
NRXN3,R5bis GP,Cocaine,3.0,0.49879532586435377,0.10943091608286662,0.0631799688581104
NRXN3,R6bisGP,Cocaine,2.0,0.9499766972192016,0.05338727600693823,0.03775050489358389
NRXN3,R8bisGP,Cocaine,2.0,1.0168811746578448,0.001249758201136386,0.0008837124988670952
NRXN3,V2GP,Cocaine,3.0,0.8537529017281402,0.14652954925652342,0.08459887470748835
NRXN3,V8GP,Cocaine,2.0,0.9486435256486199,0.044817216909702966,0.03169055799075937
