Target Name,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,Test,effect size,Bayes factor
NRXN3,STN_Control,STN_Cocaine,8.0,0.9976889914016578,0.9976889914016578,fdr_bh,False,True,T-Test,0.002,0.492
NRXN3,STN_Control,GP_Control,3.36,0.3866673686646251,0.264912720777358,fdr_bh,False,True,T-Test,-0.89,0.836
NRXN3,STN_Control,GP_Cocaine,8.0,0.004786152570211189,0.00031907683801407925,fdr_bh,False,True,T-Test,-3.434,65.967
NRXN3,STN_Control,SN_Control,3.49,0.013897735588290884,0.003706062823544236,fdr_bh,False,True,T-Test,-4.596,83.773
NRXN3,STN_Control,SN_Cocaine,8.0,0.03342443029774543,0.016720858498040128,fdr_bh,False,True,T-Test,-1.722,3.704
NRXN3,STN_Cocaine,GP_Control,4.83,0.3866673686646251,0.2854843604990119,fdr_bh,False,True,T-Test,-0.757,0.766
NRXN3,STN_Cocaine,GP_Cocaine,8.0,0.005554858430974867,0.000740647790796649,fdr_bh,False,True,T-Test,-3.02,34.313
NRXN3,STN_Cocaine,SN_Control,5.38,0.006944561740571109,0.0013889123481142219,fdr_bh,False,True,T-Test,-3.742,43.41
NRXN3,STN_Cocaine,SN_Cocaine,8.0,0.03342443029774543,0.01782636282546423,fdr_bh,False,True,T-Test,-1.698,3.552
NRXN3,GP_Control,GP_Cocaine,6.59,0.03342443029774543,0.01764166272300999,fdr_bh,False,True,T-Test,-1.873,3.77
NRXN3,GP_Control,SN_Control,6.0,0.03193362792531647,0.010644542641772156,fdr_bh,False,True,T-Test,-2.247,4.981
NRXN3,GP_Control,SN_Cocaine,4.88,0.1015525803841004,0.060931548230460236,fdr_bh,False,True,T-Test,-1.303,1.988
NRXN3,GP_Cocaine,SN_Control,6.93,0.697286842450867,0.6508010529541426,fdr_bh,False,True,T-Test,-0.276,0.545
NRXN3,GP_Cocaine,SN_Cocaine,8.0,0.3866673686646251,0.3093338949317001,fdr_bh,False,True,T-Test,-0.62,0.699
NRXN3,SN_Control,SN_Cocaine,4.65,0.4761762812918488,0.41268611045293563,fdr_bh,False,True,T-Test,-0.48,0.645
B2M,STN_Control,STN_Cocaine,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,STN_Control,GP_Control,4.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.509
B2M,STN_Control,GP_Cocaine,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,STN_Control,SN_Control,4.97,0.8682230070579392,0.31007964537783544,fdr_bh,False,True,T-Test,0.709,0.733
B2M,STN_Control,SN_Cocaine,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,STN_Cocaine,GP_Control,4.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.509
B2M,STN_Cocaine,GP_Cocaine,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,STN_Cocaine,SN_Control,3.52,0.8682230070579392,0.2858950406768458,fdr_bh,False,True,T-Test,0.831,0.793
B2M,STN_Cocaine,SN_Cocaine,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,GP_Control,GP_Cocaine,1.0,,,fdr_bh,False,True,T-Test,,nan
B2M,GP_Control,SN_Control,6.0,0.8682230070579392,0.2383325103885646,fdr_bh,False,True,T-Test,0.805,0.832
B2M,GP_Control,SN_Cocaine,4.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.509
B2M,GP_Cocaine,SN_Control,3.0,0.8682230070579392,0.2816824678736234,fdr_bh,False,True,T-Test,0.889,0.821
B2M,GP_Cocaine,SN_Cocaine,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,SN_Control,SN_Cocaine,4.97,0.8682230070579392,0.31007964537783544,fdr_bh,False,True,T-Test,-0.709,0.733
