,,cut off 0.3,,cut off 0.275,,cut off 0.2,,cut off 0.2 preserve outlier,
,,Number of replicates,RNA quantity,Number of replicates,RNA quantity,Number of replicates,RNA quantity,Number of replicates,RNA quantity
Target Name,Sample Name,,,,,,,,
B2M,B4bisNST,2,1,2,1,2,1,2,1
B2M,B4bisGP,2,1,2,1,2,1,2,1
B2M,B4bisSN,3,1,2,1,2,1,3,1
B2M,B6NST,2,1,2,1,2,1,2,1
B2M,R6 NST,3,1,3,1,2,1,3,1
B2M,R6 GP,2,1,2,1,2,1,2,1
B2M,R6 SN,2,1,2,1,2,1,2,1
B2M,V3 NST,3,1,3,1,2,1,3,1
B2M,V3 GP,2,1,2,1,2,1,2,1
B2M,V3 SN,2,1,2,1,2,1,2,1
B2M,V4 NST,2,1,2,1,2,1,2,1
B2M,V4 GP,2,1,2,1,2,1,2,1
B2M,V4 SN,2,1,2,1,2,1,3,1
B2M,R5bis NST,2,1,2,1,2,1,2,1
B2M,R5bis GP,2,1,2,1,2,1,3,1
B2M,R5bis SN,3,1,3,1,3,1,3,1
B2M,R6bisNST,3,1,3,1,3,1,3,1
B2M,R6bisGP,2,1,2,1,2,1,2,1
B2M,R6bisSN,3,1,3,1,2,1,3,1
B2M,R8bisNST,2,1,2,1,2,1,2,1
B2M,R8bisGP,3,1,3,1,2,1,3,1
B2M,R8bisSN,2,1,2,1,2,1,2,1
B2M,V2NST,2,1,2,1,2,1,3,1
B2M,V2GP,2,1,2,1,2,1,2,1
B2M,V2SN,2,1,2,1,2,1,2,1
B2M,V8NST,2,1,2,1,2,1,2,1
B2M,V8GP,2,1,2,1,2,1,2,1
B2M,V8SN,2,1,2,1,2,1,2,1
NRXN3,B4bisNST,3,0.256373140329715,3,0.256373140329715,2,0.281704865299558,3,0.256373140329715
NRXN3,B4bisGP,2,0.254115586690017,2,0.254115586690017,2,0.254115586690017,2,0.254115586690017
NRXN3,B4bisSN,2,0.87454677302393,2,0.785411917942038,2,0.785411917942038,3,0.731713802272178
NRXN3,B6NST,2,0.193263863044287,2,0.193263863044287,2,0.193263863044287,2,0.193263863044287
NRXN3,R6 NST,3,0.328977820636451,3,0.328977820636451,3,0.305484665323483,3,0.328977820636451
NRXN3,R6 GP,3,0.710674357331055,3,0.710674357331055,3,0.710674357331055,3,0.710674357331055
NRXN3,R6 SN,2,1.07840284513417,2,1.07840284513417,2,1.07840284513417,3,0.875094298954629
NRXN3,V3 NST,3,0.284535956497831,3,0.284535956497831,2,0.335664335664336,3,0.284535956497831
NRXN3,V3 GP,2,0.412466995752497,2,0.412466995752497,2,0.412466995752497,2,0.412466995752497
NRXN3,V3 SN,2,1.33056687662097,2,1.33056687662097,2,1.33056687662097,3,1.15534148450043
NRXN3,V4 NST,2,0.325903614457831,2,0.325903614457831,2,0.325903614457831,2,0.325903614457831
NRXN3,V4 GP,2,0.29909793814433,2,0.29909793814433,2,0.29909793814433,2,0.29909793814433
NRXN3,V4 SN,2,1.05748564698955,2,1.05748564698955,2,1.05748564698955,2,0.893989048369701
NRXN3,R5bis NST,2,0.457002146735699,2,0.457002146735699,2,0.457002146735699,3,0.411583954202972
NRXN3,R5bis GP,2,0.502105263157895,2,0.502105263157895,2,0.502105263157895,3,0.498795325864354
NRXN3,R5bis SN,2,1.23793284365163,2,1.23793284365163,2,1.23793284365163,2,1.23793284365163
NRXN3,R6bisNST,2,0.17078426459534,2,0.17078426459534,2,0.17078426459534,2,0.17078426459534
NRXN3,R6bisGP,2,0.949976697219202,2,0.949976697219202,2,0.949976697219202,2,0.949976697219202
NRXN3,R6bisSN,2,1.16073258196721,2,1.16073258196721,2,1.29823807477439,3,1.0016393442623
NRXN3,R8bisNST,2,0.425282363162467,2,0.425282363162467,2,0.425282363162467,2,0.425282363162467
NRXN3,R8bisGP,2,1.01688117465784,2,1.01688117465784,2,0.945515454143227,2,1.01688117465784
NRXN3,R8bisSN,3,0.439319301388267,3,0.439319301388267,3,0.439319301388267,3,0.439319301388267
NRXN3,V2NST,2,0.165922657669349,2,0.165922657669349,2,0.165922657669349,2,0.198680230389923
NRXN3,V2GP,3,0.85375290172814,3,0.85375290172814,2,0.779726592726335,3,0.85375290172814
NRXN3,V2SN,3,1.01961191961192,3,1.01961191961192,2,1.0970893970894,3,1.01961191961192
NRXN3,V8NST,2,0.18178360101437,2,0.18178360101437,2,0.18178360101437,2,0.18178360101437
NRXN3,V8GP,2,0.94864352564862,2,0.94864352564862,2,0.94864352564862,2,0.94864352564862
NRXN3,V8SN,2,2.29786215698787,2,2.29786215698787,2,2.29786215698787,2,2.29786215698787
