,,rq,rq,rqSD,rqSEM
,,size,mean,mean,mean
Target Name,Sample Name,,,,
CHR1,GM25953,3.0,0.9582023259977883,0.027624211302456018,0.015948845831624085
CHR1,GM25975,3.0,1.008784038282803,0.03590854652825291,0.020731809004295023
CHR1,GM25974,3.0,1.026251392771944,0.010539861155524665,0.006085191675363445
CHR1,GM25952,3.0,0.962424229965077,0.05772366011273881,0.03332677070470021
CHR1,Normal,3.0,1.0003426766195325,0.03225555261684496,0.018622751986195573
CHR4,GM25953,3.0,1.0000121581923656,0.0060328346895962585,0.0034830587320149125
CHR4,GM25975,3.0,1.0000475417491426,0.011963722590769438,0.0069072584582907425
CHR4,GM25974,3.0,1.0000896182656265,0.016345879561820542,0.009437297965158293
CHR4,GM25952,3.0,1.0001950322593982,0.02413962502547556,0.013937019006594942
CHR4,Normal,3.0,1.0000991943004403,0.017307924174657967,0.00999273468135241
CHR8,GM25953,3.0,1.0263838035462036,0.03519310900581898,0.02031875095812943
CHR8,GM25975,3.0,1.0273492851037878,0.05296748911573842,0.030580794099270146
CHR8,GM25974,3.0,1.1019157708318097,0.005939223624699306,0.0034290123584975294
CHR8,GM25952,3.0,1.006751496285774,0.028223472207041394,0.01629482927620127
CHR8,Normal,3.0,1.0000266075124413,0.008924010802691461,0.005152280039185044
CHR10,GM25953,3.0,0.9131451109200023,0.039535347008973695,0.02282574323813623
CHR10,GM25975,3.0,0.997654262587664,0.024109638298046698,0.013919706161441772
CHR10,GM25974,3.0,0.9764679976542255,0.04435154072423408,0.025606373976111197
CHR10,GM25952,3.0,0.9786347691055465,0.060931927309764065,0.03517906463453499
CHR10,Normal,3.0,1.0000218170880208,0.008083995501500085,0.004667296978918798
CHR12,GM25953,3.0,0.9346326396824169,0.03819078760050205,0.02204946150171368
CHR12,GM25975,3.0,1.093796790793527,0.005326968836409303,0.0030755268916656587
CHR12,GM25974,3.0,1.1403850230158012,0.02260766517076494,0.013052541572090065
CHR12,GM25952,3.0,1.0795983659269017,0.05318217450989432,0.030704742769377142
CHR12,Normal,3.0,1.0000442737347408,0.011501981197767188,0.0066406719407449
CHR17,GM25953,3.0,0.9214535761319281,0.05387907303663362,0.031107097321387934
CHR17,GM25975,3.0,1.0606380821654102,0.06125711588290341,0.03536681234477439
CHR17,GM25974,3.0,1.2197108485434225,0.04096770504578984,0.023652715536267955
CHR17,GM25952,3.0,1.0876196694684135,0.2016403144582095,0.11641708983192806
CHR17,Normal,3.0,1.0007825284703298,0.0489140711588236,0.028240552150707313
CHR18,GM25953,3.0,0.9379361212185741,0.02050620691405345,0.011839264081886925
CHR18,GM25975,3.0,0.9908257460283015,0.02756785925932083,0.0159163109643506
CHR18,GM25974,3.0,0.972114009403843,0.032100591208322746,0.018533284975271274
CHR18,GM25952,3.0,0.9878600798588758,0.009586141169058001,0.0055345611844453925
CHR18,Normal,3.0,1.000078297384734,0.01531281464065789,0.008840857654834677
CHR20,GM25953,3.0,0.9917318702746464,0.04533628593875228,0.026174916890796474
CHR20,GM25975,3.0,1.1044667965350812,0.006512093182111329,0.0037597587516799025
CHR20,GM25974,3.0,0.9272423737473958,0.025011132102485064,0.014440183852107042
CHR20,GM25952,3.0,0.8743500094466911,0.021153329757399645,0.012212880629691607
CHR20,Normal,3.0,1.0004606418669415,0.03722973995139601,0.02149460038279825
CHRX,GM25953,3.0,0.9626878930004105,0.030378247397597646,0.01753888931251205
CHRX,GM25975,3.0,0.9310080485346033,0.018898468861446683,0.010911036084428003
CHRX,GM25974,3.0,0.9746974641951921,0.007215666624374468,0.004165967067965197
CHRX,GM25952,3.0,0.9851347447667407,0.06872509325547244,0.03967845109112915
CHRX,Normal,3.0,1.0002450832846084,0.027187813942246872,0.015696891698233694
