Target Name,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,effect size,Bayes factor
GAPDH,IPSC,NPC,NA,0.17751620347757824,0.03603168621823355,fdr_bh,True,False,1.552,NA
GAPDH,IPSC,DA4W,NA,0.2084128036841486,0.2084128036841486,fdr_bh,True,False,0.705,NA
GAPDH,IPSC,DA6W,NA,0.2084128036841486,0.1422132419363924,fdr_bh,True,False,0.878,NA
GAPDH,NPC,DA4W,NA,0.17751620347757824,0.05917206782585941,fdr_bh,True,False,-0.975,NA
GAPDH,NPC,DA6W,NA,0.1869849673796714,0.0934924836898357,fdr_bh,True,False,-0.782,NA
GAPDH,DA4W,DA6W,NA,0.2084128036841486,0.2084128036841486,fdr_bh,True,False,0.201,NA
ACTB,IPSC,NPC,NA,0.17751620347757824,0.03603168621823355,fdr_bh,True,False,-1.741,NA
ACTB,IPSC,DA4W,NA,0.2084128036841486,0.2084128036841486,fdr_bh,True,False,-0.705,NA
ACTB,IPSC,DA6W,NA,0.2084128036841486,0.1422132419363924,fdr_bh,True,False,-0.878,NA
ACTB,NPC,DA4W,NA,0.17751620347757824,0.05917206782585941,fdr_bh,True,False,1.031,NA
ACTB,NPC,DA6W,NA,0.1869849673796714,0.0934924836898357,fdr_bh,True,False,0.801,NA
ACTB,DA4W,DA6W,NA,0.2084128036841486,0.2084128036841486,fdr_bh,True,False,-0.201,NA
KCNJ6,IPSC,NPC,NA,0.833935414088552,0.833935414088552,fdr_bh,True,False,-0.234,NA
KCNJ6,IPSC,DA4W,NA,0.054047529327350324,0.03603168621823355,fdr_bh,True,False,-3.666,NA
KCNJ6,IPSC,DA6W,NA,0.054047529327350324,0.03603168621823355,fdr_bh,True,False,-3.676,NA
KCNJ6,NPC,DA4W,NA,0.054047529327350324,0.03603168621823355,fdr_bh,True,False,-3.039,NA
KCNJ6,NPC,DA6W,NA,0.054047529327350324,0.03603168621823355,fdr_bh,True,False,-3.05,NA
KCNJ6,DA4W,DA6W,NA,0.833935414088552,0.833935414088552,fdr_bh,True,False,-0.015,NA
SYP,IPSC,NPC,NA,0.40167816646977306,0.40167816646977306,fdr_bh,True,False,-1.064,NA
SYP,IPSC,DA4W,NA,0.054047529327350324,0.03603168621823355,fdr_bh,True,False,-11.357,NA
SYP,IPSC,DA6W,NA,0.054047529327350324,0.03603168621823355,fdr_bh,True,False,-8.189,NA
SYP,NPC,DA4W,NA,0.054047529327350324,0.03603168621823355,fdr_bh,True,False,-5.59,NA
SYP,NPC,DA6W,NA,0.054047529327350324,0.03603168621823355,fdr_bh,True,False,-4.83,NA
SYP,DA4W,DA6W,NA,0.2500953644209783,0.2084128036841486,fdr_bh,True,False,-0.474,NA
GRIA1,IPSC,NPC,NA,0.07100648139103129,0.03603168621823355,fdr_bh,True,False,-1.785,NA
GRIA1,IPSC,DA4W,NA,0.07100648139103129,0.03603168621823355,fdr_bh,True,False,-2.852,NA
GRIA1,IPSC,DA6W,NA,0.07100648139103129,0.03603168621823355,fdr_bh,True,False,-2.882,NA
GRIA1,NPC,DA4W,NA,0.07100648139103129,0.05917206782585941,fdr_bh,True,False,-0.998,NA
GRIA1,NPC,DA6W,NA,0.07100648139103129,0.05917206782585941,fdr_bh,True,False,-0.954,NA
GRIA1,DA4W,DA6W,NA,0.29450739368011014,0.29450739368011014,fdr_bh,True,False,0.065,NA
