Target Name,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,effect size,Bayes factor
B2M,ST,GP,NA,0.6506129639327536,0.6197122214274368,fdr_bh,False,False,0.0,NA
B2M,ST,sN,NA,0.5821084760738255,0.31349994558358807,fdr_bh,False,False,-1.417,NA
B2M,ST,SN,NA,0.6506129639327536,0.6506129639327536,fdr_bh,False,False,0.0,NA
B2M,GP,sN,NA,0.5821084760738255,0.3880723173825503,fdr_bh,False,False,-1.46,NA
B2M,GP,SN,NA,0.5821084760738255,0.1950088398892209,fdr_bh,False,False,0.0,NA
B2M,sN,SN,NA,0.5734842272737765,0.0955807045456294,fdr_bh,False,False,1.946,NA
NLGN1,ST,GP,NA,0.25320183705681326,0.16880122470454217,fdr_bh,False,False,0.542,NA
NLGN1,ST,sN,NA,0.8197075378297883,0.8197075378297883,fdr_bh,False,False,0.392,NA
NLGN1,ST,SN,NA,0.06505233409497599,0.019873535690821748,fdr_bh,False,False,0.536,NA
NLGN1,GP,sN,NA,0.6949196903447027,0.5790997419539189,fdr_bh,False,False,0.431,NA
NLGN1,GP,SN,NA,0.06505233409497599,0.021684111364991994,fdr_bh,False,False,-1.231,NA
NLGN1,sN,SN,NA,0.12891543654135168,0.06445771827067584,fdr_bh,False,False,-1.409,NA
NLGN2,ST,GP,NA,0.005993070291816908,0.0010329755096068162,fdr_bh,False,False,0.546,NA
NLGN2,ST,sN,NA,0.648503379652976,0.648503379652976,fdr_bh,False,False,-0.031,NA
NLGN2,ST,SN,NA,0.06646073695897227,0.04430715797264818,fdr_bh,False,False,0.546,NA
NLGN2,GP,sN,NA,0.03246009714922671,0.016230048574613354,fdr_bh,False,False,-1.192,NA
NLGN2,GP,SN,NA,0.005993070291816908,0.0019976900972723025,fdr_bh,False,False,-1.811,NA
NLGN2,sN,SN,NA,0.4262710575447347,0.35522588128727894,fdr_bh,False,False,1.192,NA
NLGN3,ST,GP,NA,0.005993070291816908,0.0010329755096068162,fdr_bh,False,False,0.546,NA
NLGN3,ST,sN,NA,0.648503379652976,0.648503379652976,fdr_bh,False,False,-0.031,NA
NLGN3,ST,SN,NA,0.06646073695897227,0.04430715797264818,fdr_bh,False,False,0.546,NA
NLGN3,GP,sN,NA,0.03246009714922671,0.016230048574613354,fdr_bh,False,False,-1.192,NA
NLGN3,GP,SN,NA,0.005993070291816908,0.0019976900972723025,fdr_bh,False,False,-1.811,NA
NLGN3,sN,SN,NA,0.4262710575447347,0.35522588128727894,fdr_bh,False,False,1.192,NA
NRXN2,ST,GP,NA,0.6506129639327536,0.6197122214274368,fdr_bh,False,False,0.0,NA
NRXN2,ST,SN,NA,0.6506129639327536,0.6506129639327536,fdr_bh,False,False,0.0,NA
NRXN2,ST,sN,NA,0.5821084760738255,0.31349994558358807,fdr_bh,False,False,0.0,NA
NRXN2,GP,SN,NA,0.5821084760738255,0.1950088398892209,fdr_bh,False,False,0.0,NA
NRXN2,GP,sN,NA,0.5821084760738255,0.3880723173825503,fdr_bh,False,False,0.0,NA
NRXN2,SN,sN,NA,0.5734842272737765,0.0955807045456294,fdr_bh,False,False,0.0,NA
