,,NormQuant,NormQuant,NormQuant,NormSEM,Treatment,Region
,,size,mean,std,mean,,
Target Name,Sample Name,,,,,,
B2M,B4bisGP,3,1,0.332134616265887,0.191758010108303,Saline,GP
B2M,B4bisNST,3,1,0.301874001026003,0.174287035753712,Saline,NST
B2M,B4bisSN,3,1,0.196583427425526,0.113497494742347,Saline,SN
B2M,B6NST,4,1,0.398727813147273,0.230205610253969,Saline,NST
B2M,R5bis GP,3,1,0.212640230518805,0.122767894330576,Cocaine,GP
B2M,R5bis NST,3,1,1.07746642105432,0.622075528238493,Cocaine,NST
B2M,R5bis SN,3,1,0.116700950726439,0.067377325316595,Cocaine,SN
B2M,R6 GP,3,1,0.368970299937958,0.213025101992157,Saline,GP
B2M,R6 NST,3,1,0.149548731671077,0.086342000487263,Saline,NST
B2M,R6 SN,3,1,0.55401935014807,0.31986322094425,Saline,SN
B2M,R6bisGP,3,1,1.61996004327156,0.935284367059274,Cocaine,GP
B2M,R6bisNST,3,1,0.088662406373515,0.051189264186749,Cocaine,NST
B2M,R6bisSN,3,1,0.183457260718072,0.10591909886037,Cocaine,SN
B2M,R8bisGP,3,1,0.150303412098024,0.086777715434913,Cocaine,GP
B2M,R8bisNST,3,1,0.413002114811155,0.238446882162105,Cocaine,NST
B2M,R8bisSN,3,1,0.335601021559,0.193759340137402,Cocaine,SN
B2M,V2GP,4,1,0.431269103674837,0.248993333099836,Cocaine,GP
B2M,V2NST,3,1,0.373198975815905,0.215466529148606,Cocaine,NST
B2M,V2SN,4,1,0.982882982959655,0.567467754793659,Cocaine,SN
B2M,V3 GP,3,1,0.341331281772139,0.197067707413984,Saline,GP
B2M,V3 NST,3,1,0.152823992013144,0.088232972927422,Saline,NST
B2M,V3 SN,3,1,0.347752928618353,0.200775246949287,Saline,SN
B2M,V4 GP,3,1,0.275185520701303,0.158878434453985,Saline,GP
B2M,V4 NST,3,1,0.494926256796491,0.285745807590468,Saline,NST
B2M,V4 SN,3,1,0.277477729903776,0.160201842054071,Saline,SN
B2M,V8GP,4,1,1.73205075082797,0.999999967240622,Cocaine,GP
B2M,V8NST,3,1,0.505654744389336,0.291939902790194,Cocaine,NST
B2M,V8SN,4,1,0.456631744616484,0.263636460674855,Cocaine,SN
NLGN1,B4bisGP,3,0.519230174679239,0.37572653240959,0.216925814628361,Saline,GP
NLGN1,B4bisNST,3,0.211827242524917,0.03699487336647,0.021359000096768,Saline,NST
NLGN1,B4bisSN,3,0.731713802272178,0.265529167211661,0.15330333616735,Saline,SN
NLGN1,B6NST,3,0.181208181991971,0.055960611906988,0.032308874348516,Saline,NST
NLGN1,R5bis GP,3,0.498795325864354,0.109430916082867,0.06317996885811,Cocaine,GP
NLGN1,R5bis NST,3,0.156003701458247,0.030845362522234,0.017808578355463,Cocaine,NST
NLGN1,R5bis SN,3,0.965346274921301,0.48763738177168,0.281537573632804,Cocaine,SN
NLGN1,R6 GP,3,0.561431143114311,0.048048891088661,0.027741040204302,Saline,GP
NLGN1,R6 NST,3,0.328977820636451,0.036433240271249,0.021034741078056,Saline,NST
NLGN1,R6 SN,3,0.595307917888563,0.27526662268527,0.15892525870626,Saline,SN
NLGN1,R6bisGP,3,0.051719854703667,0.017263781734893,0.009967249031871,Cocaine,GP
NLGN1,R6bisNST,3,0.211751440741669,0.070986250108674,0.040983930609005,Cocaine,NST
NLGN1,R6bisSN,3,1.0016393442623,0.314217544744276,0.181413584042211,Cocaine,SN
NLGN1,R8bisGP,3,0.868304178373969,0.25734442372431,0.148577872311679,Cocaine,GP
NLGN1,R8bisNST,3,0.720981649347778,0.687009209041044,0.396644951775599,Cocaine,NST
NLGN1,R8bisSN,3,0.523833256203054,0.067688049266556,0.039079713464967,Cocaine,SN
NLGN1,V2GP,3,0.645643693107932,0.110811780715385,0.06397721142541,Cocaine,GP
NLGN1,V2NST,3,0.253760411055401,0.096095871251675,0.055480977135166,Cocaine,NST
NLGN1,V2SN,4,0.443964996982498,0.063096043133328,0.036428517487827,Cocaine,SN
NLGN1,V3 GP,3,0.643570250961715,0.262198212279879,0.151380208440827,Saline,GP
NLGN1,V3 NST,3,0.284535956497831,0.046649494646524,0.026933098291731,Saline,NST
NLGN1,V3 SN,3,0.931196496117858,0.249685816096523,0.144156173136159,Saline,SN
NLGN1,V4 GP,3,0.437624353362515,0.163870096222894,0.094610444166418,Saline,GP
NLGN1,V4 NST,3,0.188945278022948,0.076395573510755,0.044107004931331,Saline,NST
NLGN1,V4 SN,3,1.1045797726707,0.375762442655807,0.216946547418681,Saline,SN
NLGN1,V8GP,4,0.253557583097595,0.439174562742507,0.253557552020623,Cocaine,GP
NLGN1,V8NST,3,233.279396948762,403.649709272098,233.04726830656,Cocaine,NST
NLGN1,V8SN,3,1.44576109432162,0.472050319299964,0.272538378918883,Cocaine,SN
NLGN2,B4bisGP,3,0.317189673829031,0.149208166023082,0.086145374818717,Saline,GP
NLGN2,B4bisNST,3,0.688372093023256,0.333979663522536,0.192823248638597,Saline,NST
NLGN2,B4bisSN,3,0.468044476673918,0.213253118386206,0.123121745305803,Saline,SN
NLGN2,B6NST,3,1.34851844771554,1.36894580595748,0.790361229575563,Saline,NST
NLGN2,R5bis GP,3,0.601764847608722,0.184572226349084,0.106562824567572,Cocaine,GP
NLGN2,R5bis NST,3,0.714987714987715,0.449692098010529,0.259629853838826,Cocaine,NST
NLGN2,R5bis SN,3,0.624239244491081,0.427678064962169,0.246920045932406,Cocaine,SN
