Target Name,Contrast,Group1,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,Test,effect size,Bayes factor
B2M,Group1,-,Con,Cocaine,14.0,,1.0,,False,True,T-Test,0.0,0.354
B2M,Group2,-,NST,GP,9.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.405
B2M,Group2,-,NST,SN,9.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.405
B2M,Group2,-,GP,SN,16.0,,,fdr_bh,False,True,T-Test,,nan
B2M,Group1 * Group2,Con,NST,GP,1.0,,,fdr_bh,False,True,T-Test,,nan
B2M,Group1 * Group2,Con,NST,SN,1.0,,,fdr_bh,False,True,T-Test,,nan
B2M,Group1 * Group2,Con,GP,SN,6.0,,,fdr_bh,False,True,T-Test,,nan
B2M,Group1 * Group2,Cocaine,NST,GP,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,Group1 * Group2,Cocaine,NST,SN,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,Group1 * Group2,Cocaine,GP,SN,8.0,,,fdr_bh,False,True,T-Test,,nan
NRXN3,Group1,-,Con,Cocaine,25.94,,0.3009968980629739,,False,True,T-Test,-0.385,0.536
NRXN3,Group2,-,NST,GP,9.34,0.005019454710416393,0.0033463031402775952,fdr_bh,False,True,T-Test,-1.795,26.912
NRXN3,Group2,-,NST,SN,9.01,0.0001936057172897573,6.453523909658577e-05,fdr_bh,False,True,T-Test,-3.215,5208.962
NRXN3,Group2,-,GP,SN,16.0,0.013575817192745194,0.013575817192745194,fdr_bh,False,True,T-Test,-1.245,4.182
NRXN3,Group1 * Group2,Con,NST,GP,3.08,0.22565879041329526,0.18804899201107939,fdr_bh,False,True,T-Test,-1.14,1.077
NRXN3,Group1 * Group2,Con,NST,SN,3.06,0.01635795247314165,0.008178976236570825,fdr_bh,False,True,T-Test,-4.158,47.1
NRXN3,Group1 * Group2,Con,GP,SN,6.0,0.01941600747905565,0.012944004986037098,fdr_bh,False,True,T-Test,-2.147,4.388
NRXN3,Group1 * Group2,Cocaine,NST,GP,8.0,0.008723437025398836,0.0014539061708998058,fdr_bh,False,True,T-Test,-2.711,20.609
NRXN3,Group1 * Group2,Cocaine,NST,SN,8.0,0.010060735057131131,0.003353578352377043,fdr_bh,False,True,T-Test,-2.352,11.174
NRXN3,Group1 * Group2,Cocaine,GP,SN,8.0,0.26609622360953206,0.26609622360953206,fdr_bh,False,True,T-Test,-0.683,0.749
