,,NormQuant,NormQuant,NormQuant,NormSEM
,,size,mean,std,mean
Target Name,Sample Name,,,,
B2M,B4bisNST,2.0,1.0,0.0403736079326456,0.02854845195014071
B2M,B6NST,2.0,1.0,0.05736854421238074,0.0405656866393747
B2M,R6 NST,2.0,1.0,0.08927876082140437,0.06312961719274689
B2M,V3 NST,3.0,1.0,0.15282399201314395,0.08823297292742188
B2M,V4 NST,2.0,1.0,0.0,0.0
B2M,R5bis NST,2.0,0.9999999999999999,0.23983947648277143,0.16959212021719916
B2M,R6bisNST,2.0,1.0,0.04005839778683215,0.0283255647185372
B2M,R8bisNST,2.0,1.0,0.09583723533023586,0.06776715899218072
B2M,V2NST,2.0,1.0,0.17654729392718885,0.12483778873604982
B2M,V8NST,2.0,1.0,0.17692612614642275,0.12510566356720204
B2M,B4bisGP,2.0,1.0,0.015685964789894313,0.011091652072387659
B2M,R6 GP,2.0,1.0,0.11087724362121894,0.07840205084383678
B2M,V3 GP,2.0,1.0,0.021592286051615405,0.015268051888416956
B2M,V4 GP,2.0,1.0,0.03571982709086698,0.02525773195876296
B2M,R5bis GP,2.0,1.0,0.08931875130777443,0.06315789473684212
B2M,R6bisGP,2.0,1.0,0.5512291172897461,0.3897778468230543
B2M,R8bisGP,2.0,1.0,0.09752272274502524,0.06895897857278294
B2M,V2GP,2.0,1.0,0.1645113016843605,0.11632705700283724
B2M,V8GP,2.0,1.0,0.23640034788632114,0.16716028906527663
B2M,B4bisSN,2.0,1.0,0.0032235411711535964,0.002279387821556677
B2M,R6 SN,2.0,1.0,0.03429227842805764,0.024248302618816716
B2M,V3 SN,2.0,1.0,0.15708826454222097,0.11107817710263067
B2M,V4 SN,2.0,1.0,0.12158114535932402,0.08597085234800533
B2M,R5bis SN,3.0,1.0,0.11670095072643864,0.0673773253165946
B2M,R6bisSN,2.0,1.0,0.0018232233292305748,0.0012892135797164526
B2M,R8bisSN,2.0,1.0,0.04749933595073099,0.03358710255261982
B2M,V2SN,2.0,1.0,0.32194674652776295,0.2276507276507277
B2M,V8SN,2.0,1.0,0.25089430142930474,0.17740906190172304
NRXN3,B4bisNST,3.0,0.25637314032971453,0.04477465574309399,0.02585065954614815
NRXN3,B6NST,3.0,0.23518173923830785,0.07262869641122811,0.04193219742391415
NRXN3,R6 NST,3.0,0.30548466532348334,0.0338314485437967,0.019532595923836
NRXN3,V3 NST,3.0,0.284535956497831,0.04664949464652362,0.026933098291730424
NRXN3,V4 NST,2.0,0.32590361445783134,0.016842117031041947,0.011909175162187202
NRXN3,R5bis NST,3.0,0.4115839542029717,0.08137919906421559,0.04698430248616101
NRXN3,R6bisNST,3.0,0.20200788813194692,0.06771988148290133,0.039098091803642626
NRXN3,R8bisNST,2.0,0.42528236316246737,0.05246474293078292,0.037098175499565594
NRXN3,V2NST,2.0,0.16592265766934858,0.013617265290433911,0.00962886062808202
NRXN3,V8NST,2.0,0.18178360101437027,0.10561772462862463,0.0746830092983939
NRXN3,B4bisGP,2.0,0.2541155866900175,0.030298679357321966,0.021424401634559234
NRXN3,R6 GP,2.0,0.7455671864986113,0.00966777056097814,0.006836146122623343
NRXN3,V3 GP,2.0,0.41246699575249685,0.04269752805695377,0.03019171162897488
NRXN3,V4 GP,2.0,0.2990979381443299,0.052668520557451574,0.037242268041237085
NRXN3,R5bis GP,2.0,0.5021052631578947,0.03206314149509856,0.02267206477732797
NRXN3,R6bisGP,2.0,0.9499766972192016,0.05338727600693823,0.03775050489358389
NRXN3,R8bisGP,2.0,0.9455154541432274,0.0011620489419665327,0.0008216926869351603
NRXN3,V2GP,2.0,0.7797265927263348,0.10031176931973203,0.07093113231880316
NRXN3,V8GP,2.0,0.9486435256486199,0.044817216909702966,0.03169055799075937
NRXN3,B4bisSN,2.0,0.7854119179420385,0.12249456450382394,0.08661673721914687
NRXN3,R6 SN,2.0,1.0784028451341738,0.2818825286786334,0.19932104752667312
NRXN3,V3 SN,2.0,1.3305668766209708,0.08781852280612483,0.06209707298999634
NRXN3,V4 SN,2.0,1.0574856469895482,0.15103959068183145,0.10680111879876347
NRXN3,R5bis SN,3.0,0.965346274921301,0.4876373817716803,0.2815375736328041
NRXN3,R6bisSN,2.0,1.2982380747743876,0.23884225612919047,0.16888697894284474
NRXN3,R8bisSN,3.0,0.43931930138826686,0.056767427733895474,0.032774689683367185
NRXN3,V2SN,3.0,1.0196119196119195,0.1449066437587311,0.08366188978146864
NRXN3,V8SN,2.0,2.2978621569878745,0.025495554012150607,0.018028079132099473
