,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Treatment
0,B2M,B4bisGP,0.9889083479276123,1.0,0.015685964789894275,0.011091652072387659,False,Control
1,B2M,B4bisGP,1.0110916520723876,1.0,0.015685964789894275,0.011091652072387659,False,Control
2,B2M,R6 GP,1.0784020508438368,1.0,0.11087724362121894,0.07840205084383678,False,Control
3,B2M,R6 GP,0.9215979491561632,1.0,0.11087724362121894,0.07840205084383678,False,Control
4,B2M,V3 GP,1.015268051888417,1.0,0.021592286051615405,0.015268051888416956,False,Control
5,B2M,V3 GP,0.984731948111583,1.0,0.021592286051615405,0.015268051888416956,False,Control
6,B2M,V4 GP,0.9747422680412371,1.0,0.03571982709086694,0.02525773195876296,False,Control
7,B2M,V4 GP,1.025257731958763,1.0,0.03571982709086694,0.02525773195876296,False,Control
8,B2M,R5bis GP,1.063157894736842,1.0,0.08931875130777446,0.06315789473684212,False,Cocaine
9,B2M,R5bis GP,0.9368421052631578,1.0,0.08931875130777446,0.06315789473684212,False,Cocaine
10,B2M,R6bisGP,1.3897778468230544,1.0,0.5512291172897462,0.3897778468230543,False,Cocaine
11,B2M,R6bisGP,0.6102221531769458,1.0,0.5512291172897462,0.3897778468230543,False,Cocaine
12,B2M,R8bisGP,0.8490437777576363,1.0000000000000002,0.1503034120980236,0.08677771543491318,False,Cocaine
13,B2M,R8bisGP,1.1496419831414848,1.0000000000000002,0.1503034120980236,0.08677771543491318,False,Cocaine
14,B2M,R8bisGP,1.0013142391008794,1.0000000000000002,0.1503034120980236,0.08677771543491318,False,Cocaine
15,B2M,V2GP,1.1163270570028372,1.0,0.16451130168436057,0.11632705700283724,False,Cocaine
16,B2M,V2GP,0.8836729429971627,1.0,0.16451130168436057,0.11632705700283724,False,Cocaine
17,B2M,V8GP,1.1671602890652766,1.0,0.2364003478863212,0.16716028906527663,False,Cocaine
18,B2M,V8GP,0.8328397109347233,1.0,0.2364003478863212,0.16716028906527663,False,Cocaine
19,NRXN3,B4bisGP,0.2755399883245767,0.2541155866900175,0.030298679357321976,0.021424401634559234,False,Control
20,NRXN3,B4bisGP,0.23269118505545824,0.2541155866900175,0.030298679357321976,0.021424401634559234,False,Control
21,NRXN3,R6 GP,0.738731040375988,0.7106743573310546,0.060821554368157685,0.035115340786987304,False,Control
22,NRXN3,R6 GP,0.7524033326212347,0.7106743573310546,0.060821554368157685,0.035115340786987304,False,Control
23,NRXN3,R6 GP,0.640888698995941,0.7106743573310546,0.060821554368157685,0.035115340786987304,False,Control
24,NRXN3,V3 GP,0.7883136264493169,0.5377492059847703,0.2190854537689296,0.12648904570902283,False,Control
25,NRXN3,V3 GP,0.38227528412352196,0.5377492059847703,0.2190854537689296,0.12648904570902283,False,Control
26,NRXN3,V3 GP,0.4426587073814717,0.5377492059847703,0.2190854537689296,0.12648904570902283,False,Control
27,NRXN3,V4 GP,0.2618556701030928,0.2990979381443299,0.052668520557451574,0.037242268041237085,False,Control
28,NRXN3,V4 GP,0.336340206185567,0.2990979381443299,0.052668520557451574,0.037242268041237085,False,Control
29,NRXN3,R5bis GP,0.47943319838056675,0.4470175438596491,0.09807136673726058,0.05662152998555191,False,Cocaine
30,NRXN3,R5bis GP,0.5247773279352227,0.4470175438596491,0.09807136673726058,0.05662152998555191,False,Cocaine
31,NRXN3,R5bis GP,0.3368421052631579,0.4470175438596491,0.09807136673726058,0.05662152998555191,False,Cocaine
32,NRXN3,R6bisGP,0.9122261923256177,0.9499766972192016,0.05338727600693823,0.03775050489358389,False,Cocaine
33,NRXN3,R6bisGP,0.9877272021127855,0.9499766972192016,0.05338727600693823,0.03775050489358389,False,Cocaine
34,NRXN3,R8bisGP,1.0159974621589776,0.868304178373969,0.2573444237243097,0.14857787231167935,False,Cocaine
35,NRXN3,R8bisGP,0.5711501858062177,0.868304178373969,0.2573444237243097,0.14857787231167935,False,Cocaine
36,NRXN3,R8bisGP,1.0177648871567118,0.868304178373969,0.2573444237243097,0.14857787231167935,False,Cocaine
37,NRXN3,V2GP,0.8506577250451379,0.7797265927263348,0.10031176931973199,0.07093113231880316,False,Cocaine
38,NRXN3,V2GP,0.7087954604075316,0.7797265927263348,0.10031176931973199,0.07093113231880316,False,Cocaine
39,NRXN3,V8GP,0.9169529676578605,0.9486435256486199,0.044817216909702966,0.03169055799075937,False,Cocaine
40,NRXN3,V8GP,0.9803340836393792,0.9486435256486199,0.044817216909702966,0.03169055799075937,False,Cocaine
