,,NormQuant,NormQuant,NormQuant,NormSEM
,,size,mean,std,mean
Target Name,Sample Name,,,,
B2M,B4bisGP,2.0,1.0,0.015685964789894234,0.011091652072387659
B2M,R6 GP,2.0,1.0,0.11087724362121894,0.07840205084383678
B2M,V3 GP,2.0,1.0,0.021592286051615405,0.015268051888416956
B2M,V4 GP,2.0,1.0,0.03571982709086698,0.02525773195876296
B2M,R5bis GP,2.0,1.0,0.0893187513077745,0.06315789473684212
B2M,R6bisGP,2.0,1.0,0.5512291172897461,0.3897778468230543
B2M,R8bisGP,3.0,1.0000000000000002,0.1503034120980236,0.08677771543491318
B2M,V2GP,2.0,1.0,0.1645113016843606,0.11632705700283724
B2M,V8GP,2.0,1.0,0.23640034788632125,0.16716028906527663
NRXN3,B4bisGP,2.0,0.2541155866900175,0.030298679357321983,0.021424401634559234
NRXN3,R6 GP,3.0,0.7106743573310546,0.06082155436815766,0.035115340786987304
NRXN3,V3 GP,3.0,0.5377492059847703,0.2190854537689296,0.12648904570902283
NRXN3,V4 GP,2.0,0.2990979381443299,0.052668520557451574,0.037242268041237085
NRXN3,R5bis GP,3.0,0.4470175438596491,0.09807136673726057,0.0566215299855519
NRXN3,R6bisGP,2.0,0.9499766972192016,0.05338727600693823,0.03775050489358389
NRXN3,R8bisGP,3.0,0.868304178373969,0.2573444237243097,0.14857787231167935
NRXN3,V2GP,2.0,0.7797265927263348,0.10031176931973203,0.07093113231880316
NRXN3,V8GP,2.0,0.9486435256486199,0.044817216909702966,0.03169055799075937
