,,NormQuant,NormQuant,NormQuant,NormSEM
,,size,mean,std,mean
Target Name,Sample Name,,,,
B2M,B4bisNST,3.0,1.0,0.30187400102600276,0.17428703575371207
B2M,B6NST,3.0,1.0,0.39872781314727274,0.23020561025396877
B2M,R6 NST,3.0,1.0000000000000002,0.1495487316710766,0.08634200048726319
B2M,V3 NST,3.0,1.0,0.15282399201314395,0.08823297292742188
B2M,V4 NST,2.0,1.0,0.0,0.0
B2M,R5bis NST,2.0,0.9999999999999999,0.23983947648277143,0.16959212021719916
B2M,R6bisNST,3.0,1.0,0.08866240637351508,0.05118926418674894
B2M,R8bisNST,3.0,1.0000000000000002,0.4130021148111554,0.2384468821621053
B2M,V2NST,3.0,1.0,0.37319897581590544,0.21546652914860565
B2M,V8NST,3.0,1.0,0.5056547443893356,0.29193990279019433
B2M,B4bisGP,3.0,1.0,0.3321346162658867,0.1917580101083027
B2M,R6 GP,3.0,1.0,0.36897029993795766,0.21302510199215682
B2M,V3 GP,3.0,0.9999999999999999,0.34133128177213873,0.1970677074139843
B2M,V4 GP,3.0,1.0,0.27518552070130353,0.15887843445398492
B2M,R5bis GP,3.0,1.0,0.21264023051880512,0.12276789433057624
B2M,R6bisGP,2.0,1.0,0.5512291172897461,0.3897778468230543
B2M,R8bisGP,3.0,1.0,0.15030341209802353,0.08677771543491318
B2M,V2GP,3.0,1.0000000000000002,0.43126910367483684,0.24899333309983565
B2M,V8GP,2.0,1.0,0.23640034788632114,0.16716028906527663
B2M,B4bisSN,3.0,0.9999999999999997,0.19658342742552568,0.11349749474234654
B2M,R6 SN,3.0,1.0000000000000002,0.5540193501480705,0.3198632209442501
B2M,V3 SN,3.0,1.0,0.3477529286183528,0.20077524694928672
B2M,V4 SN,3.0,1.0,0.2774777299037759,0.1602018420540713
B2M,R5bis SN,3.0,1.0,0.11670095072643864,0.0673773253165946
B2M,R6bisSN,3.0,1.0,0.1834572607180722,0.10591909886037036
B2M,R8bisSN,3.0,1.0,0.3356010215589995,0.1937593401374018
B2M,V2SN,2.0,1.0,0.32194674652776295,0.2276507276507277
B2M,V8SN,3.0,1.0,0.4566317446164838,0.2636364606748554
NRXN3,B4bisNST,3.0,0.21182724252491694,0.03699487336647002,0.021359000096767593
NRXN3,B6NST,3.0,0.18120818199197095,0.055960611906988145,0.03230887434851579
NRXN3,R6 NST,3.0,0.3289778206364513,0.03643324027124874,0.021034741078055776
NRXN3,V3 NST,3.0,0.284535956497831,0.04664949464652362,0.026933098291730424
NRXN3,V4 NST,3.0,0.26453506333024407,0.1069585230617062,0.06175253208180087
NRXN3,R5bis NST,3.0,0.4115839542029717,0.08137919906421559,0.04698430248616101
NRXN3,R6bisNST,3.0,0.21175144074166874,0.0709862501086739,0.04098393060900499
NRXN3,R8bisNST,2.0,0.3246738890117179,0.04005322956886879,0.028321910236568656
NRXN3,V2NST,3.0,0.2537604110554013,0.09609587125167471,0.05548097713516601
NRXN3,V8NST,2.0,0.23213514680483593,0.13487237503849628,0.09536917098445595
NRXN3,B4bisGP,2.0,0.3028056886690369,0.036104091795627895,0.025529448137270067
NRXN3,R6 GP,3.0,0.5614311431143114,0.04804889108866103,0.02774104020430146
NRXN3,V3 GP,3.0,0.6435702509617145,0.262198212279879,0.15138020844082678
NRXN3,V4 GP,3.0,0.437624353362515,0.16387009622289378,0.0946104441664176
NRXN3,R5bis GP,3.0,0.49879532586435377,0.10943091608286662,0.0631799688581104
NRXN3,R6bisGP,3.0,0.7977836466262752,0.2662954647868859,0.1537457582786851
NRXN3,R8bisGP,3.0,0.8683041783739691,0.2573444237243097,0.14857787231167935
NRXN3,V2GP,3.0,0.6456436931079325,0.11081178071538521,0.06397721142540944
NRXN3,V8GP,2.0,0.9486435256486199,0.044817216909702966,0.03169055799075937
NRXN3,B4bisSN,3.0,0.7317138022721776,0.2655291672116612,0.15330333616734976
NRXN3,R6 SN,3.0,0.5953079178885631,0.2752666226852701,0.15892525870625984
NRXN3,V3 SN,3.0,0.9311964961178579,0.24968581609652343,0.1441561731361592
NRXN3,V4 SN,3.0,1.1045797726707045,0.3757624426558069,0.2169465474186815
NRXN3,R5bis SN,3.0,0.965346274921301,0.4876373817716803,0.2815375736328041
NRXN3,R6bisSN,3.0,1.001639344262295,0.31421754474427577,0.1814135840422109
NRXN3,R8bisSN,3.0,0.5238332562030544,0.06768804926655614,0.039079713464966845
NRXN3,V2SN,3.0,1.0196119196119195,0.1449066437587311,0.08366188978146864
NRXN3,V8SN,3.0,1.4457610943216157,0.47205031929996377,0.2725383789188829
