,,,NormQuant,NormQuant,NormQuant,NormSEM
,,,size,mean,std,mean
Target Name,Sample Name,Treatment,,,,
B2M,B4bisNST,Con,3.0,1.0,0.30187400102600276,0.17428703575371207
B2M,B6NST,Con,2.0,1.0,0.05736854421238074,0.0405656866393747
B2M,R6 NST,Con,3.0,1.0000000000000002,0.1495487316710766,0.08634200048726319
B2M,V3 NST,Con,3.0,1.0,0.15282399201314395,0.08823297292742188
B2M,V4 NST,Con,2.0,1.0,0.0,0.0
B2M,R5bis NST,Cocaine,2.0,0.9999999999999999,0.23983947648277143,0.16959212021719916
B2M,R6bisNST,Cocaine,3.0,1.0,0.08866240637351508,0.05118926418674894
B2M,R8bisNST,Cocaine,2.0,1.0,0.09583723533023586,0.06776715899218072
B2M,V2NST,Cocaine,2.0,1.0,0.17654729392718885,0.12483778873604982
B2M,V8NST,Cocaine,2.0,1.0,0.17692612614642275,0.12510566356720204
B2M,B4bisGP,Con,2.0,1.0,0.015685964789894313,0.011091652072387659
B2M,R6 GP,Con,2.0,1.0,0.11087724362121894,0.07840205084383678
B2M,V3 GP,Con,3.0,0.9999999999999999,0.34133128177213873,0.1970677074139843
B2M,V4 GP,Con,2.0,1.0,0.03571982709086698,0.02525773195876296
B2M,R5bis GP,Cocaine,3.0,1.0,0.21264023051880512,0.12276789433057624
B2M,R6bisGP,Cocaine,2.0,1.0,0.5512291172897461,0.3897778468230543
B2M,R8bisGP,Cocaine,3.0,1.0,0.15030341209802353,0.08677771543491318
B2M,V2GP,Cocaine,2.0,1.0,0.1645113016843605,0.11632705700283724
B2M,V8GP,Cocaine,2.0,1.0,0.23640034788632114,0.16716028906527663
B2M,B4bisSN,Con,3.0,0.9999999999999997,0.19658342742552568,0.11349749474234654
B2M,R6 SN,Con,3.0,1.0000000000000002,0.5540193501480705,0.3198632209442501
B2M,V3 SN,Con,3.0,1.0,0.3477529286183528,0.20077524694928672
B2M,V4 SN,Con,3.0,1.0,0.2774777299037759,0.1602018420540713
B2M,R5bis SN,Cocaine,3.0,1.0,0.11670095072643864,0.0673773253165946
B2M,R6bisSN,Cocaine,3.0,1.0,0.1834572607180722,0.10591909886037036
B2M,R8bisSN,Cocaine,2.0,1.0,0.04749933595073099,0.03358710255261982
B2M,V2SN,Cocaine,2.0,1.0,0.32194674652776295,0.2276507276507277
B2M,V8SN,Cocaine,3.0,1.0,0.4566317446164838,0.2636364606748554
NRXN3,B4bisNST,Con,3.0,0.21182724252491694,0.03699487336647002,0.021359000096767593
NRXN3,B6NST,Con,3.0,0.23518173923830785,0.07262869641122811,0.04193219742391415
NRXN3,R6 NST,Con,3.0,0.3289778206364513,0.03643324027124874,0.021034741078055776
NRXN3,V3 NST,Con,3.0,0.284535956497831,0.04664949464652362,0.026933098291730424
NRXN3,V4 NST,Con,3.0,0.26453506333024407,0.1069585230617062,0.06175253208180087
NRXN3,R5bis NST,Cocaine,3.0,0.4115839542029717,0.08137919906421559,0.04698430248616101
NRXN3,R6bisNST,Cocaine,3.0,0.21175144074166874,0.0709862501086739,0.04098393060900499
NRXN3,R8bisNST,Cocaine,2.0,0.42528236316246737,0.05246474293078292,0.037098175499565594
NRXN3,V2NST,Cocaine,3.0,0.2119214464919111,0.08025198238313576,0.04633350363190453
NRXN3,V8NST,Cocaine,2.0,0.18178360101437027,0.10561772462862463,0.0746830092983939
NRXN3,B4bisGP,Con,2.0,0.2541155866900175,0.030298679357321966,0.021424401634559234
NRXN3,R6 GP,Con,3.0,0.7106743573310546,0.06082155436815769,0.035115340786987304
NRXN3,V3 GP,Con,3.0,0.6435702509617145,0.262198212279879,0.15138020844082678
NRXN3,V4 GP,Con,3.0,0.3779209621993127,0.14151393532925496,0.08170310865642867
NRXN3,R5bis GP,Cocaine,3.0,0.49879532586435377,0.10943091608286662,0.0631799688581104
NRXN3,R6bisGP,Cocaine,2.0,0.9499766972192016,0.05338727600693823,0.03775050489358389
NRXN3,R8bisGP,Cocaine,3.0,0.8683041783739691,0.2573444237243097,0.14857787231167935
NRXN3,V2GP,Cocaine,3.0,0.8537529017281402,0.1465295492565234,0.08459887470748835
NRXN3,V8GP,Cocaine,2.0,0.9486435256486199,0.044817216909702966,0.03169055799075937
NRXN3,B4bisSN,Con,2.0,0.8745467730239302,0.13639623190400407,0.09644670050761421
NRXN3,R6 SN,Con,3.0,0.5953079178885631,0.2752666226852701,0.15892525870625984
NRXN3,V3 SN,Con,3.0,0.9311964961178579,0.24968581609652343,0.1441561731361592
NRXN3,V4 SN,Con,2.0,0.8939890483697006,0.12768753913984246,0.09028872479880527
NRXN3,R5bis SN,Cocaine,3.0,0.965346274921301,0.4876373817716803,0.2815375736328041
NRXN3,R6bisSN,Cocaine,2.0,1.1607325819672132,0.2135447989290315,0.15099897540983595
NRXN3,R8bisSN,Cocaine,3.0,0.43931930138826686,0.056767427733895474,0.032774689683367185
NRXN3,V2SN,Cocaine,3.0,1.0196119196119195,0.1449066437587311,0.08366188978146864
NRXN3,V8SN,Cocaine,3.0,1.4457610943216157,0.47205031929996377,0.2725383789188829
