,,NormQuant,NormQuant,NormQuant,NormSEM
,,size,mean,std,mean
Target Name,Sample Name,,,,
NRXN3,R6bisNST,3.0,1.0,0.3352338470994172,0.1935473518643224
NRXN3,R6bisGP,2.0,1.0,0.05619851114581542,0.03973834832379385
NRXN3,R6bisSN,2.0,1.0,0.1839741575679001,0.13008937437934454
NRXN3,R8bisNST,2.0,1.0,0.12336449257064598,0.08723186925434123
NRXN3,R5bis SN,3.0,1.0,0.5051424493365706,0.29164412910357596
NRXN3,V4 SN,2.0,1.0,0.14282897466439487,0.10099533653511522
NRXN3,R5bis NST,3.0,1.0,0.19772199142652583,0.11415484497481358
NRXN3,R5bis GP,3.0,1.0,0.2193904200951276,0.126665118099547
NRXN3,R8bisGP,3.0,1.0000000000000002,0.2963758900783204,0.1711126999180332
NRXN3,V2SN,3.0,1.0000000000000002,0.14211940932770276,0.08205267923241978
NRXN3,V8NST,2.0,1.0,0.5810079899356566,0.4108346896070681
NRXN3,V8GP,2.0,1.0,0.047243475233818596,0.03340618170465187
NRXN3,V8SN,3.0,1.0,0.32650644781768773,0.18850858553969052
NRXN3,R8bisSN,3.0,1.0,0.12921678504565606,0.07460334562992756
NRXN3,V2NST,3.0,0.9999999999999999,0.3786874038074242,0.2186352745269369
NRXN3,V2GP,3.0,1.0,0.17162992823792791,0.09909058526916385
NRXN3,B4bisNST,3.0,1.0000000000000002,0.17464643794396928,0.10083216795995996
NRXN3,B4bisGP,2.0,1.0,0.11923188086168766,0.08430967149092583
NRXN3,V4 GP,3.0,1.0,0.37445378659525524,0.21619099448984533
NRXN3,B4bisSN,2.0,1.0,0.1559621922020081,0.11028192371475959
NRXN3,B6NST,3.0,1.0,0.308819454462976,0.17829699516519257
NRXN3,V3 GP,3.0,1.0,0.4074119521343086,0.23521940023581397
NRXN3,V3 SN,3.0,1.0,0.26813440249985826,0.15480746946229265
NRXN3,V4 NST,3.0,1.0,0.4043264500183848,0.23343798475860025
NRXN3,V3 NST,3.0,1.0,0.16394938348285423,0.0946562206872991
NRXN3,R6 NST,3.0,1.0,0.11074679806913361,0.06393969367710342
NRXN3,R6 GP,3.0,1.0,0.08558287454830046,0.049411295658483255
NRXN3,R6 SN,3.0,1.0,0.46239368638264566,0.26696311930460387
B2M,R6bisGP,2.0,1.0,0.05619851114581542,0.03973834832379385
B2M,R6bisNST,3.0,1.0,0.3352338470994173,0.1935473518643224
B2M,R6bisSN,2.0,1.0,0.1839741575679001,0.13008937437934454
B2M,R8bisNST,2.0,1.0,0.12336449257064598,0.08723186925434123
B2M,V4 SN,2.0,1.0,0.14282897466439487,0.10099533653511522
B2M,R5bis NST,3.0,1.0,0.19772199142652583,0.11415484497481358
B2M,R5bis SN,3.0,1.0,0.5051424493365706,0.29164412910357596
B2M,R5bis GP,3.0,1.0,0.2193904200951276,0.126665118099547
B2M,V2SN,3.0,1.0000000000000002,0.14211940932770273,0.08205267923241978
B2M,V8NST,2.0,1.0,0.5810079899356566,0.4108346896070681
B2M,V8GP,2.0,1.0,0.047243475233818596,0.03340618170465187
B2M,V8SN,3.0,1.0,0.32650644781768773,0.18850858553969052
B2M,R8bisGP,3.0,1.0000000000000002,0.2963758900783204,0.1711126999180332
B2M,R8bisSN,3.0,1.0,0.12921678504565606,0.07460334562992756
B2M,V2NST,3.0,0.9999999999999999,0.3786874038074242,0.2186352745269369
B2M,V2GP,3.0,1.0,0.17162992823792791,0.09909058526916385
B2M,V4 GP,3.0,1.0,0.37445378659525536,0.21619099448984533
B2M,B4bisNST,3.0,1.0000000000000002,0.17464643794396928,0.10083216795995996
B2M,B4bisGP,2.0,1.0,0.11923188086168751,0.08430967149092583
B2M,B4bisSN,2.0,1.0,0.1559621922020081,0.11028192371475959
B2M,B6NST,3.0,1.0,0.308819454462976,0.17829699516519257
B2M,V3 GP,3.0,1.0,0.40741195213430853,0.23521940023581397
B2M,V3 SN,3.0,1.0,0.26813440249985826,0.15480746946229265
B2M,V4 NST,3.0,1.0,0.4043264500183848,0.23343798475860025
B2M,V3 NST,3.0,1.0,0.16394938348285423,0.0946562206872991
B2M,R6 NST,3.0,1.0,0.11074679806913361,0.06393969367710342
B2M,R6 GP,3.0,1.0,0.08558287454830046,0.049411295658483255
B2M,R6 SN,3.0,1.0,0.46239368638264566,0.26696311930460387
