Preserve,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Treatment,Remove 0.2,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Treatment,Gilles,Well / Set,Dye,Content,Description,Efficiency,C(t),ng,,,,
0,B2M,B4bisGP,1.01109165207239,1,0.015685964789894,0.011091652072388,False,Control,0,B2M,B4bisGP,1.01109165207239,1,0.015685964789894,0.011091652072388,False,Control,,B4,FAM,Sample,B4bisGP,52.82%,27.3,1.33,,,,
1,B2M,B4bisGP,,,,,True,Control,1,B2M,B4bisGP,,,,,True,Control,,B5,FAM,Sample,B4bisGP,46.28%,26.37,2.598,,,,
2,B2M,B4bisGP,0.988908347927612,1,0.015685964789894,0.011091652072388,False,Control,2,B2M,B4bisGP,0.988908347927612,1,0.015685964789894,0.011091652072388,False,Control,,B6,FAM,Sample,B4bisGP,42.64%,26.4,2.541,,,,
3,B2M,R6 GP,,,,,True,Control,3,B2M,R6 GP,,,,,True,Control,,E7,FAM,Sample,R5bis GP,41.58%,27.92,0.8504,,,,
4,B2M,R6 GP,0.921597949156163,1,0.110877243621219,0.078402050843837,False,Control,4,B2M,R6 GP,0.921597949156163,1,0.110877243621219,0.078402050843837,False,Control,,E8,FAM,Sample,R5bis GP,45.71%,27.49,1.157,,,,
5,B2M,R6 GP,1.07840205084384,1,0.110877243621219,0.078402050843837,False,Control,5,B2M,R6 GP,1.07840205084384,1,0.110877243621219,0.078402050843837,False,Control,,E9,FAM,Sample,R5bis GP,43.81%,27.32,1.313,,,,
6,B2M,V3 GP,,,,,True,Control,6,B2M,V3 GP,,,,,True,Control,,C4,FAM,Sample,R6 GP,61.12%,26.63,2.157,,,,
7,B2M,V3 GP,0.984731948111583,1,0.021592286051615,0.015268051888417,False,Control,7,B2M,V3 GP,0.984731948111583,1,0.021592286051615,0.015268051888417,False,Control,,C5,FAM,Sample,R6 GP,53.03%,25.7,4.207,,,,
8,B2M,V3 GP,1.01526805188842,1,0.021592286051615,0.015268051888417,False,Control,8,B2M,V3 GP,1.01526805188842,1,0.021592286051615,0.015268051888417,False,Control,,C6,FAM,Sample,R6 GP,46.70%,26.41,2.524,,,,
9,B2M,V4 GP,,,,,True,Control,9,B2M,V4 GP,,,,,True,Control,,F4,FAM,Sample,R6bisGP,62.61%,25.62,4.473,,,,
