,,,NormQuant,NormQuant,NormQuant,NormSEM
,,,size,mean,std,mean
Target Name,Sample Name,Treatment,,,,
B2M,B4bisGP,Control,2.0,1.0,0.015685964789894313,0.011091652072387659
B2M,R6 GP,Control,2.0,1.0,0.11087724362121894,0.07840205084383678
B2M,V3 GP,Control,2.0,1.0,0.021592286051615405,0.015268051888416956
B2M,V4 GP,Control,2.0,1.0,0.03571982709086691,0.02525773195876296
B2M,R5bis GP,Cocaine,2.0,1.0,0.08931875130777443,0.06315789473684212
B2M,R6bisGP,Cocaine,3.0,1.0,1.619960043271562,0.9352843670592742
B2M,R8bisGP,Cocaine,3.0,1.0000000000000002,0.1503034120980236,0.08677771543491318
B2M,V2GP,Cocaine,2.0,1.0,0.1645113016843606,0.11632705700283724
B2M,V8GP,Cocaine,3.0,1.0000000000000002,1.7320507508279699,0.999999967240622
NRXN3,B4bisGP,Control,3.0,0.4357397677888046,0.3153110122796441,0.18204489781810593
NRXN3,R6 GP,Control,3.0,0.7106743573310546,0.060821554368157685,0.035115340786987304
NRXN3,V3 GP,Control,3.0,0.5377492059847703,0.21908545376892963,0.12648904570902283
NRXN3,V4 GP,Control,2.0,0.2990979381443299,0.052668520557451574,0.037242268041237085
NRXN3,R5bis GP,Cocaine,3.0,0.4470175438596491,0.09807136673726057,0.0566215299855519
NRXN3,R6bisGP,Cocaine,2.0,0.06158644258981985,0.0034610663803151197,0.0024473435076575976
NRXN3,R8bisGP,Cocaine,3.0,0.868304178373969,0.2573444237243097,0.14857787231167935
NRXN3,V2GP,Cocaine,2.0,0.7797265927263348,0.10031176931973194,0.07093113231880316
NRXN3,V8GP,Cocaine,3.0,0.25355758309759496,0.4391745627425073,0.2535575520206228
