Remove if std > 0.2,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Preserve if highly variable,,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers
0,B2M,B4bisNST,0.971451548049859,1,0.040373607932646,0.028548451950141,False,,0,B2M,B4bisNST,0.971451548049859,1,0.040373607932646,0.028548451950141,False
1,B2M,B4bisNST,,,,,True,,1,B2M,B4bisNST,,,,,True
2,B2M,B4bisNST,1.02854845195014,1,0.040373607932646,0.028548451950141,False,,2,B2M,B4bisNST,1.02854845195014,1,0.040373607932646,0.028548451950141,False
3,B2M,B6NST,,,,,True,,3,B2M,B6NST,1.45899445612694,1,0.398727813147273,0.230205610253969,False
4,B2M,B6NST,1.04056568663937,1,0.057368544212381,0.040565686639375,False,,4,B2M,B6NST,0.801758745937679,1,0.398727813147273,0.230205610253969,False
5,B2M,B6NST,0.959434313360625,1,0.057368544212381,0.040565686639375,False,,5,B2M,B6NST,0.739246797935385,1,0.398727813147273,0.230205610253969,False
6,B2M,R6 NST,,,,,True,,6,B2M,R6 NST,,,,,True
7,B2M,R6 NST,0.936870382807253,1,0.089278760821404,0.063129617192747,False,,7,B2M,R6 NST,1.06312961719275,1,0.089278760821404,0.063129617192747,False
8,B2M,R6 NST,1.06312961719275,1,0.089278760821404,0.063129617192747,False,,8,B2M,R6 NST,0.936870382807253,1,0.089278760821404,0.063129617192747,False
9,B2M,V3 NST,0.863689130567605,1,0.152823992013144,0.088232972927422,False,,9,B2M,V3 NST,0.971100384920878,1,0.152823992013144,0.088232972927422,False
10,B2M,V3 NST,1.16521048451152,1,0.152823992013144,0.088232972927422,False,,10,B2M,V3 NST,0.863689130567605,1,0.152823992013144,0.088232972927422,False
11,B2M,V3 NST,0.971100384920878,1,0.152823992013144,0.088232972927422,False,,11,B2M,V3 NST,1.16521048451152,1,0.152823992013144,0.088232972927422,False
12,B2M,V4 NST,,,,,True,,12,B2M,V4 NST,0.714254192409532,1,0.494926256796491,0.285745807590468,False
13,B2M,V4 NST,1,1,0,0,False,,13,B2M,V4 NST,1.57149161518094,1,0.494926256796491,0.285745807590468,False
14,B2M,V4 NST,1,1,0,0,False,,14,B2M,V4 NST,0.714254192409532,1,0.494926256796491,0.285745807590468,False
15,B2M,R5bis NST,,,,,True,,15,B2M,R5bis NST,0.31475158747886,1,1.07746642105432,0.622075528238493,False
16,B2M,R5bis NST,0.830407879782801,1,0.239839476482771,0.169592120217199,False,,16,B2M,R5bis NST,0.443313443313443,1,1.07746642105432,0.622075528238493,False
17,B2M,R5bis NST,1.1695921202172,1,0.239839476482771,0.169592120217199,False,,17,B2M,R5bis NST,2.2419349692077,1,1.07746642105432,0.622075528238493,False
18,B2M,R6bisNST,1.07792533199699,1,0.088662406373515,0.051189264186749,False,,18,B2M,R6bisNST,1.07792533199699,1,0.088662406373515,0.051189264186749,False
19,B2M,R6bisNST,0.903532949135555,1,0.088662406373515,0.051189264186749,False,,19,B2M,R6bisNST,0.903532949135555,1,0.088662406373515,0.051189264186749,False
20,B2M,R6bisNST,1.01854171886745,1,0.088662406373515,0.051189264186749,False,,20,B2M,R6bisNST,1.01854171886745,1,0.088662406373515,0.051189264186749,False
21,B2M,R8bisNST,,,,,True,,21,B2M,R8bisNST,1.47313729825337,1,0.413002114811155,0.238446882162105,False
22,B2M,R8bisNST,0.932232841007819,1,0.095837235330236,0.067767158992181,False,,22,B2M,R8bisNST,0.711695777139067,1,0.413002114811155,0.238446882162105,False
23,B2M,R8bisNST,1.06776715899218,1,0.095837235330236,0.067767158992181,False,,23,B2M,R8bisNST,0.815166924607561,1,0.413002114811155,0.238446882162105,False
24,B2M,V2NST,0.87516221126395,1,0.176547293927189,0.12483778873605,False,,24,B2M,V2NST,0.87516221126395,1,0.176547293927189,0.12483778873605,False
25,B2M,V2NST,1.12483778873605,1,0.176547293927189,0.12483778873605,False,,25,B2M,V2NST,1.12483778873605,1,0.176547293927189,0.12483778873605,False
