,,NormQuant,NormQuant,NormQuant,NormSEM
,,size,mean,std,mean
Target Name,Sample Name,,,,
B2M,B4bisNST,3.0,1.0,0.0403736079326456,0.02854845195014071
B2M,B6NST,3.0,1.0,0.057368544212380815,0.0405656866393747
B2M,R6 NST,3.0,1.0,0.08927876082140437,0.06312961719274689
B2M,V3 NST,3.0,1.0,0.152823992013144,0.0882329729274219
B2M,V4 NST,3.0,1.0,0.0,0.0
B2M,R5bis NST,3.0,0.9999999999999999,0.23983947648277143,0.16959212021719916
B2M,R6bisNST,3.0,1.0,0.08866240637351513,0.05118926418674894
B2M,R8bisNST,3.0,1.0,0.09583723533023578,0.06776715899218072
B2M,V2NST,3.0,1.0,0.17654729392718893,0.12483778873604982
B2M,V8NST,3.0,1.0,0.1769261261464227,0.12510566356720204
B2M,B4bisGP,3.0,1.0,0.015685964789894234,0.011091652072387659
B2M,R6 GP,3.0,1.0,0.11087724362121894,0.07840205084383678
B2M,V3 GP,3.0,1.0,0.021592286051615405,0.015268051888416956
B2M,V4 GP,3.0,1.0,0.03571982709086691,0.02525773195876296
B2M,R5bis GP,3.0,1.0,0.0893187513077745,0.06315789473684212
B2M,R6bisGP,3.0,1.0,0.5512291172897461,0.3897778468230543
B2M,R8bisGP,3.0,1.0000000000000002,0.1503034120980236,0.08677771543491318
B2M,V2GP,3.0,1.0,0.1645113016843606,0.11632705700283724
B2M,V8GP,3.0,1.0,0.23640034788632125,0.16716028906527663
B2M,B4bisSN,3.0,1.0,0.0032235411711534394,0.002279387821556677
B2M,R6 SN,3.0,1.0,0.03429227842805764,0.024248302618816716
B2M,V3 SN,3.0,1.0,0.15708826454222097,0.11107817710263067
B2M,V4 SN,3.0,1.0,0.12158114535932395,0.08597085234800533
B2M,R5bis SN,3.0,1.0,0.11670095072643862,0.06737732531659459
B2M,R6bisSN,3.0,1.0,0.0018232233292305748,0.0012892135797164526
B2M,R8bisSN,3.0,1.0,0.04749933595073091,0.03358710255261982
B2M,V2SN,3.0,1.0,0.32194674652776295,0.2276507276507277
B2M,V8SN,3.0,1.0,0.45663174461648387,0.2636364606748554
NRXN3,B4bisNST,3.0,0.25637314032971453,0.04477465574309399,0.02585065954614815
NRXN3,B6NST,3.0,0.23518173923830785,0.07262869641122809,0.04193219742391415
NRXN3,R6 NST,3.0,0.3054846653234833,0.0338314485437967,0.019532595923836
NRXN3,V3 NST,3.0,0.284535956497831,0.046649494646523626,0.02693309829173043
NRXN3,V4 NST,3.0,0.26453506333024407,0.10695852306170621,0.06175253208180087
NRXN3,R5bis NST,3.0,0.4115839542029717,0.08137919906421562,0.04698430248616101
NRXN3,R6bisNST,3.0,0.21175144074166874,0.0709862501086739,0.04098393060900499
NRXN3,R8bisNST,3.0,0.42528236316246737,0.05246474293078295,0.037098175499565594
NRXN3,V2NST,3.0,0.2119214464919111,0.08025198238313576,0.04633350363190453
NRXN3,V8NST,3.0,0.18178360101437027,0.10561772462862463,0.0746830092983939
NRXN3,B4bisGP,3.0,0.2541155866900175,0.030298679357321983,0.021424401634559234
NRXN3,R6 GP,3.0,0.7106743573310546,0.06082155436815766,0.035115340786987304
NRXN3,V3 GP,3.0,0.5377492059847703,0.21908545376892963,0.12648904570902283
NRXN3,V4 GP,3.0,0.2990979381443299,0.052668520557451574,0.037242268041237085
NRXN3,R5bis GP,3.0,0.4470175438596491,0.09807136673726059,0.0566215299855519
NRXN3,R6bisGP,3.0,0.9499766972192016,0.05338727600693823,0.03775050489358389
NRXN3,R8bisGP,3.0,0.868304178373969,0.2573444237243097,0.14857787231167935
NRXN3,V2GP,3.0,0.7797265927263348,0.10031176931973203,0.07093113231880316
NRXN3,V8GP,3.0,0.9486435256486199,0.044817216909702966,0.03169055799075937
NRXN3,B4bisSN,3.0,0.7854119179420385,0.12249456450382394,0.08661673721914687
NRXN3,R6 SN,3.0,0.8750942989546285,0.4046380788260678,0.23361790373460325
NRXN3,V3 SN,3.0,1.3305668766209708,0.08781852280612483,0.06209707298999634
NRXN3,V4 SN,3.0,1.0574856469895482,0.1510395906818314,0.10680111879876347
NRXN3,R5bis SN,3.0,0.9653462749213011,0.4876373817716805,0.281537573632804
NRXN3,R6bisSN,3.0,1.2982380747743876,0.2388422561291903,0.16888697894284474
NRXN3,R8bisSN,3.0,0.43931930138826686,0.056767427733895474,0.032774689683367185
NRXN3,V2SN,3.0,1.0196119196119195,0.14490664375873108,0.08366188978146864
NRXN3,V8SN,3.0,1.4457610943216157,0.47205031929996377,0.2725383789188829
