Target Name,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,Test,effect size,Bayes factor
B2M,NST_Control,NST_Cocaine,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,NST_Control,GP_Control,1.0,,,fdr_bh,False,True,T-Test,,nan
B2M,NST_Control,GP_Cocaine,8.0,,,fdr_bh,False,True,T-Test,,nan
B2M,NST_Control,SN_Control,1.0,,,fdr_bh,False,True,T-Test,,nan
B2M,NST_Control,SN_Cocaine,8.0,,,fdr_bh,False,True,T-Test,,nan
B2M,NST_Cocaine,GP_Control,4.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.509
B2M,NST_Cocaine,GP_Cocaine,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,NST_Cocaine,SN_Control,4.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.509
B2M,NST_Cocaine,SN_Cocaine,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,GP_Control,GP_Cocaine,1.0,,,fdr_bh,False,True,T-Test,,nan
B2M,GP_Control,SN_Control,6.0,,,fdr_bh,False,True,T-Test,,nan
B2M,GP_Control,SN_Cocaine,1.0,,,fdr_bh,False,True,T-Test,,nan
B2M,GP_Cocaine,SN_Control,1.0,,,fdr_bh,False,True,T-Test,,nan
B2M,GP_Cocaine,SN_Cocaine,8.0,,,fdr_bh,False,True,T-Test,,nan
B2M,SN_Control,SN_Cocaine,1.0,,,fdr_bh,False,True,T-Test,,nan
NRXN3,NST_Control,NST_Cocaine,8.0,0.7866494563569918,0.7342061592665257,fdr_bh,False,True,T-Test,-0.201,0.512
NRXN3,NST_Control,GP_Control,3.08,0.2820734880166191,0.18804899201107939,fdr_bh,False,True,T-Test,-1.14,1.077
NRXN3,NST_Control,GP_Cocaine,8.0,0.007422940806601123,0.0004948627204400749,fdr_bh,False,True,T-Test,-3.214,46.821
NRXN3,NST_Control,SN_Control,3.06,0.02044744059142706,0.008178976236570825,fdr_bh,False,True,T-Test,-4.158,47.1
NRXN3,NST_Control,SN_Cocaine,8.0,0.011275841738641922,0.0022551683477283844,fdr_bh,False,True,T-Test,-2.519,14.9
NRXN3,NST_Cocaine,GP_Control,4.48,0.2990870153872785,0.23926961230982283,fdr_bh,False,True,T-Test,-0.865,0.848
NRXN3,NST_Cocaine,GP_Cocaine,8.0,0.010904296281748544,0.0014539061708998058,fdr_bh,False,True,T-Test,-2.711,20.609
NRXN3,NST_Cocaine,SN_Control,4.18,0.014090406955767177,0.004696802318589059,fdr_bh,False,True,T-Test,-3.544,28.557
NRXN3,NST_Cocaine,SN_Cocaine,8.0,0.012575918821413913,0.003353578352377043,fdr_bh,False,True,T-Test,-2.352,11.174
NRXN3,GP_Control,GP_Cocaine,6.49,0.07724425716918674,0.04634655430151204,fdr_bh,False,True,T-Test,-1.469,2.041
NRXN3,GP_Control,SN_Control,6.0,0.027737153541508065,0.012944004986037098,fdr_bh,False,True,T-Test,-2.147,4.388
NRXN3,GP_Control,SN_Cocaine,6.39,0.049664583016319964,0.02648777760870398,fdr_bh,False,True,T-Test,-1.6,2.947
NRXN3,GP_Cocaine,SN_Control,6.05,0.28658385173893897,0.2101614912752219,fdr_bh,False,True,T-Test,-0.851,0.874
NRXN3,GP_Cocaine,SN_Cocaine,8.0,0.30703410416484467,0.26609622360953206,fdr_bh,False,True,T-Test,-0.683,0.749
NRXN3,SN_Control,SN_Cocaine,6.71,0.9216240087832999,0.9216240087832999,fdr_bh,False,True,T-Test,-0.058,0.51
