Target Name,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,Test,effect size,Bayes factor
NRXN3,Con_NST,Cocaine_NST,8.0,0.5744799487816441,0.49788262227742486,fdr_bh,False,True,T-Test,-0.406,0.575
NRXN3,Con_NST,Con_GP,5.5,0.022962879570736165,0.0015308586380490777,fdr_bh,False,True,T-Test,-3.596,36.808
NRXN3,Con_NST,Cocaine_GP,8.0,0.22323113400738345,0.16370283160541452,fdr_bh,False,True,T-Test,-0.876,0.953
NRXN3,Con_NST,Con_SN,3.4,0.04274029892947548,0.009958343606198336,fdr_bh,False,True,T-Test,-3.466,22.646
NRXN3,Con_NST,Cocaine_SN,8.0,0.04274029892947548,0.008500921742450214,fdr_bh,False,True,T-Test,-1.98,5.822
NRXN3,Cocaine_NST,Con_GP,5.3,0.17921000424130282,0.09557866892869483,fdr_bh,False,True,T-Test,-1.098,1.411
NRXN3,Cocaine_NST,Cocaine_GP,8.0,0.5301769240251843,0.4241415392201475,fdr_bh,False,True,T-Test,-0.481,0.611
NRXN3,Cocaine_NST,Con_SN,6.65,0.04274029892947548,0.011397413047860128,fdr_bh,False,True,T-Test,-2.057,5.019
NRXN3,Cocaine_NST,Cocaine_SN,8.0,0.08249377985106503,0.027497926617021676,fdr_bh,False,True,T-Test,-1.537,2.69
NRXN3,Con_GP,Cocaine_GP,4.7,0.6761588336199595,0.6310815780452956,fdr_bh,False,True,T-Test,0.274,0.551
NRXN3,Con_GP,Con_SN,6.0,0.11512069609627473,0.04604827843850989,fdr_bh,False,True,T-Test,-1.542,2.009
NRXN3,Con_GP,Cocaine_SN,4.44,0.20878550877778618,0.13919033918519078,fdr_bh,False,True,T-Test,-0.956,1.176
NRXN3,Cocaine_GP,Con_SN,6.93,0.16563451549164723,0.07729610722943538,fdr_bh,False,True,T-Test,-1.183,1.469
NRXN3,Cocaine_GP,Cocaine_SN,8.0,0.1875104208371604,0.11250625250229625,fdr_bh,False,True,T-Test,-1.018,1.166
NRXN3,Con_SN,Cocaine_SN,6.38,0.8732148971595611,0.8732148971595611,fdr_bh,False,True,T-Test,-0.093,0.513
B2M,Con_NST,Cocaine_NST,8.0,0.16257799660108044,0.03251559932021609,fdr_bh,False,True,T-Test,1.475,2.422
B2M,Con_NST,Con_GP,6.98,0.16729958670298845,0.05228836507081704,fdr_bh,False,True,T-Test,1.358,1.837
B2M,Con_NST,Cocaine_GP,8.0,0.16729958670298845,0.05576652890099615,fdr_bh,False,True,T-Test,1.277,1.743
B2M,Con_NST,Con_SN,6.57,0.16257799660108044,0.01727836882952898,fdr_bh,False,True,T-Test,1.886,3.832
B2M,Con_NST,Cocaine_SN,8.0,0.16257799660108044,0.03251559932021609,fdr_bh,False,True,T-Test,1.475,2.422
B2M,Cocaine_NST,Con_GP,6.05,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.509
B2M,Cocaine_NST,Cocaine_GP,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,Cocaine_NST,Con_SN,5.25,0.5484461978882927,0.28318039918066085,fdr_bh,False,True,T-Test,0.744,0.763
B2M,Cocaine_NST,Cocaine_SN,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,Con_GP,Cocaine_GP,6.98,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.509
B2M,Con_GP,Con_SN,6.0,0.5484461978882927,0.3153335962012298,fdr_bh,False,True,T-Test,0.674,0.732
B2M,Con_GP,Cocaine_SN,6.05,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.509
B2M,Cocaine_GP,Con_SN,6.57,0.5484461978882927,0.32906771873297563,fdr_bh,False,True,T-Test,0.629,0.701
B2M,Cocaine_GP,Cocaine_SN,8.0,1.0,1.0,fdr_bh,False,True,T-Test,0.0,0.492
B2M,Con_SN,Cocaine_SN,5.25,0.5484461978882927,0.28318039918066085,fdr_bh,False,True,T-Test,-0.744,0.763
