,,NormQuant,NormQuant,NormQuant,NormSEM
,,size,mean,std,mean
Target Name,Sample Name,,,,
NRXN3,B4bisNST,3.0,0.21182724252491694,0.03699487336647004,0.021359000096767593
NRXN3,B6NST,3.0,0.18120818199197095,0.055960611906988145,0.03230887434851579
NRXN3,R6 NST,3.0,0.3289778206364513,0.03643324027124874,0.021034741078055776
NRXN3,V4 NST,3.0,0.18894527802294794,0.07639557351075531,0.044107004931330414
NRXN3,V3 NST,3.0,0.28453595649783103,0.04664949464652364,0.026933098291730424
NRXN3,R5bis NST,3.0,0.1560037014582469,0.0308453625222338,0.017808578355463275
NRXN3,R6bisNST,3.0,0.21175144074166874,0.0709862501086739,0.04098393060900499
NRXN3,R8bisNST,3.0,0.7209816493477782,0.6870092090410438,0.39664495177559855
NRXN3,V2NST,3.0,0.2537604110554013,0.09609587125167471,0.05548097713516601
NRXN3,V8NST,2.0,0.23213514680483593,0.13487237503849628,0.09536917098445595
NRXN3,B4bisGP,3.0,0.5192301746792394,0.3757265324095898,0.21692581462836133
NRXN3,R6 GP,3.0,0.5614311431143114,0.04804889108866103,0.02774104020430146
NRXN3,V3 GP,3.0,0.6435702509617146,0.262198212279879,0.1513802084408268
NRXN3,V4 GP,3.0,0.437624353362515,0.16387009622289378,0.0946104441664176
NRXN3,R5bis GP,3.0,0.49879532586435366,0.10943091608286662,0.0631799688581104
NRXN3,R6bisGP,3.0,0.05171985470366664,0.01726378173489312,0.009967249031871489
NRXN3,R8bisGP,3.0,0.8683041783739691,0.2573444237243097,0.14857787231167935
NRXN3,V2GP,3.0,0.6456436931079325,0.11081178071538521,0.06397721142540944
NRXN3,V8GP,4.0,0.25355758309759496,0.4391745627425073,0.2535575520206228
NRXN3,B4bisSN,3.0,0.7317138022721777,0.26552916721166125,0.15330333616734976
NRXN3,R6 SN,3.0,0.595307917888563,0.27526662268527,0.15892525870625981
NRXN3,V4 SN,3.0,1.1045797726707045,0.375762442655807,0.2169465474186815
NRXN3,R5bis SN,3.0,0.9653462749213011,0.4876373817716804,0.281537573632804
NRXN3,R6bisSN,3.0,1.001639344262295,0.31421754474427577,0.1814135840422109
NRXN3,R8bisSN,3.0,0.5238332562030544,0.06768804926655614,0.039079713464966845
NRXN3,V2SN,4.0,0.4439649969824984,0.06309604313332796,0.03642851748782715
NRXN3,V8SN,3.0,1.4457610943216157,0.47205031929996377,0.2725383789188829
NRXN3,V3 SN,3.0,0.9311964961178582,0.2496858160965235,0.1441561731361592
B2M,B4bisNST,3.0,1.0000000000000002,0.3018740010260028,0.17428703575371207
B2M,B6NST,4.0,1.0000000000000002,0.3987278131472727,0.23020561025396874
B2M,R6 NST,3.0,1.0000000000000002,0.14954873167107668,0.08634200048726319
B2M,V4 NST,3.0,1.0,0.49492625679649077,0.28574580759046786
B2M,V3 NST,3.0,1.0,0.152823992013144,0.0882329729274219
B2M,R5bis NST,3.0,1.0,1.0774664210543172,0.6220755282384928
B2M,R6bisNST,3.0,1.0,0.08866240637351513,0.05118926418674894
B2M,R8bisNST,3.0,1.0000000000000002,0.4130021148111554,0.2384468821621053
B2M,V2NST,3.0,1.0,0.37319897581590544,0.21546652914860565
B2M,V8NST,3.0,1.0,0.5056547443893356,0.29193990279019433
B2M,B4bisGP,3.0,1.0,0.3321346162658867,0.1917580101083027
B2M,R6 GP,3.0,1.0,0.36897029993795766,0.21302510199215682
B2M,V3 GP,3.0,1.0000000000000002,0.3413312817721388,0.1970677074139843
B2M,V4 GP,3.0,1.0,0.2751855207013035,0.15887843445398492
B2M,R5bis GP,3.0,1.0,0.21264023051880512,0.12276789433057624
B2M,R6bisGP,3.0,1.0,1.619960043271562,0.9352843670592742
B2M,R8bisGP,3.0,1.0,0.15030341209802353,0.08677771543491318
B2M,V2GP,4.0,1.0000000000000002,0.43126910367483684,0.24899333309983568
B2M,V8GP,4.0,1.0000000000000002,1.7320507508279699,0.9999999672406219
B2M,B4bisSN,3.0,0.9999999999999997,0.19658342742552568,0.11349749474234654
B2M,R6 SN,3.0,0.9999999999999999,0.5540193501480704,0.31986322094424996
B2M,V4 SN,3.0,1.0,0.2774777299037759,0.1602018420540713
B2M,R5bis SN,3.0,1.0,0.1167009507264386,0.06737732531659459
B2M,R6bisSN,3.0,1.0000000000000002,0.18345726071807228,0.10591909886037036
B2M,R8bisSN,3.0,1.0,0.3356010215589995,0.1937593401374018
B2M,V2SN,4.0,1.0,0.9828829829596553,0.5674677547936593
B2M,V8SN,4.0,1.0,0.4566317446164838,0.2636364606748554
B2M,V3 SN,3.0,1.0,0.34775292861835283,0.20077524694928672
