Block Type,96-Well 0.2-mL Block,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,
Calibration Background performed on,10-12-2017,,,,,,,,,,,
Calibration CM MELTDOCTOR is expired,No,,,,,,,,,,,
Calibration CM MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-24-2017,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-24-2017,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-24-2017,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR is expired,No,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-24-2017,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-24-2017,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-24-2017,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-24-2017,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-24-2017,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,
Calibration ROI performed on,08-24-2017,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,
Calibration Uniformity performed on,08-24-2017,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,
Date Created,2019-04-29 13:45:58 PM PDT,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Gilles\GBA Project\2019-04-26_110439-GRIN1-2.eds,,,,,,,,,,,
Experiment Name,2019-04-25_135946,,,,,,,,,,,
Experiment Run End Time,2019-04-26 08:50:09 AM PDT,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,
Instrument Name,      272321808,,,,,,,,,,,
Instrument Serial Number,272321808,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,
User Name,,,,,,,,,,,,
,,,,,,,,,,,,
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
1,A1,AiW001-2-IPSC,"RGB(176,23,31)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
2,A2,AiW001-2-IPSC,"RGB(176,23,31)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
3,A3,AiW001-2-IPSC,"RGB(176,23,31)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
4,A4,AJC001-5-IPSC,"RGB(0,245,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
5,A5,AJC001-5-IPSC,"RGB(0,245,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
6,A6,AJC001-5-IPSC,"RGB(0,245,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
